entry_ts,ticker,side,entry_price,entry_count,exit_count,avg_exit_price,pnl_cents,mfe_cents,capture_ratio,reasons,anomaly_count
2026-04-30 18:45:34,-26APR302200-00,yes,45,280,0,,0,,,,0
2026-04-30 19:00:03,-26APR302215-15,yes,50,136,136,57.76470588235294,1056,8,0.9705882352941178,sell_tier;sell_tier,3
2026-04-30 19:45:18,-26APR302300-00,no,58,101,101,63.0,505,5,1.0,sell_tier,3
2026-04-30 20:45:17,-26MAY010000-00,yes,50,115,115,56.530434782608694,751,7,0.9329192546583849,sell_tier;sell_tier;sell_tier;sell_tier;sell_tier;sell_tier,3
2026-04-30 21:00:35,-26MAY010015-15,no,47,169,169,51.0,676,4,1.0,sell_tier;sell_tier,3
2026-04-30 21:15:32,-26MAY010030-30,yes,40,53,53,48.0,424,8,1.0,sell_tier,3
2026-05-01 07:00:32,-26MAY011015-15,yes,55,56,0,,0,,,,4
2026-05-01 07:14:56,-26MAY011015-15,yes,9,56,56,99.0,5040,90,1.0,sell_tier,0
2026-05-01 07:15:18,-26MAY011030-30,yes,40,60,0,,0,,,,0
2026-05-01 07:30:18,-26MAY011045-45,no,54,443,443,60.0,2658,18,0.3333333333333333,trail,0
2026-05-01 08:15:33,-26MAY011130-30,yes,60,135,135,66.0,810,6,1.0,sell_tier;sell_tier;sell_tier,0
2026-05-01 08:45:19,-26MAY011200-00,yes,49,208,0,,0,,,,0
2026-05-01 09:00:39,-26MAY011215-15,yes,69,152,152,77.0,1216,8,1.0,sell_tier,0
2026-05-01 10:00:19,-26MAY011315-15,yes,50,407,407,62.0,4884,12,1.0,sell_tier;sell_tier,0
2026-05-01 10:15:48,-26MAY011330-30,yes,66,432,0,,0,,,,0
2026-05-01 10:30:09,-26MAY011345-45,no,39,24,24,49.0,240,10,1.0,sell_tier;sell_tier;sell_tier;sell_tier;sell_tier,0
2026-05-01 10:45:18,-26MAY011400-00,yes,42,57,57,45.0,171,13,0.23076923076923078,trail,9
2026-05-01 11:00:19,-26MAY011415-15,yes,55,60,0,,0,,,,0
2026-05-01 11:30:34,-26MAY011445-45,yes,55,60,60,44.0,-660,0,,manual_tp,7
2026-05-01 11:45:19,-26MAY011500-00,yes,43,14,14,70.0,378,27,1.0,sell_tier;sell_tier;sell_tier;sell_tier;sell_tier,0
2026-05-01 12:00:18,-26MAY011515-15,no,42,28,28,56.0,392,14,1.0,sell_tier,2
2026-05-01 12:15:34,-26MAY011530-30,yes,48,20,20,11.0,-740,0,,manual_tp,4
2026-05-01 12:45:04,-26MAY011600-00,no,43,51,0,,0,,,,0
2026-05-01 13:00:35,-26MAY011615-15,yes,48,21,0,,0,,,,0
2026-05-01 13:15:18,-26MAY011630-30,yes,48,20,0,,0,,,,0
2026-05-01 13:30:18,-26MAY011645-45,no,50,55,55,77.0,1485,27,1.0,sell_tier;sell_tier,0
2026-05-01 14:00:35,-26MAY011715-15,yes,51,74,74,72.0,1554,21,1.0,sell_tier,0
2026-05-01 14:15:24,-26MAY011730-30,yes,53,55,55,74.0,1155,21,1.0,sell_tier,0
2026-05-01 14:45:35,-26MAY011800-00,yes,68,31,31,75.58064516129032,235,9,0.8422939068100356,sell_tier;sell_tier;sell_tier,0
2026-05-01 15:00:37,-26MAY011815-15,yes,63,41,41,83.0,820,20,1.0,sell_tier,0
2026-05-01 15:30:19,-26MAY011845-45,yes,49,30,30,61.0,360,12,1.0,sell_tier,0
2026-05-01 15:45:19,-26MAY011900-00,yes,54,27,0,,0,,,,1
2026-05-01 16:15:50,-26MAY011930-30,yes,41,34,34,53.0,408,12,1.0,sell_tier,0
2026-05-01 16:30:19,-26MAY011945-45,yes,50,57,57,70.0,1140,20,1.0,sell_tier,0
2026-05-01 16:45:19,-26MAY012000-00,yes,49,3,3,68.0,57,19,1.0,sell_tier,4
2026-05-01 17:00:31,-26MAY012015-15,yes,62,64,64,81.0,1216,19,1.0,sell_tier,0
2026-05-01 17:15:34,-26MAY012030-30,yes,51,30,30,56.0,150,5,1.0,sell_tier,3
2026-05-01 17:30:34,-26MAY012045-45,yes,51,58,58,71.0,1160,20,1.0,sell_tier,0
2026-05-01 18:45:41,-26MAY012200-00,yes,53,27,27,65.0,324,12,1.0,sell_tier,0
2026-05-01 19:00:24,-26MAY012215-15,yes,63,41,41,74.0,451,11,1.0,sell_tier,0
2026-05-01 19:45:34,-26MAY012300-00,yes,55,17,17,52.0,-51,0,,manual_tp,1
