ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241130-30,yes,42,52,10.0,77756.89,77747.86,0.00012,1,1,58.0,3.41,54.59
KXBTC15M-26APR240745-45,yes,42,50,8.0,78329.03,78328.70,0.00000,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR240645-45,yes,42,50,8.0,77703.66,77703.36,0.00000,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR240615-15,yes,32,44,12.0,77524.01,77549.49,0.00033,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR240230-30,no,43,47,10.0,77934.12,77946.06,0.00015,0,1,57.0,3.43,53.57
KXBTC15M-26APR240215-15,yes,49,59,10.0,78011.37,77982.08,0.00038,0,0,-49.0,3.50,-52.50
KXBTC15M-26APR240130-30,no,42,49,9.0,77588.38,77592.22,0.00005,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR240115-15,no,44,44,12.0,77676.36,77698.68,0.00029,0,1,56.0,3.45,52.55
KXBTC15M-26APR232245-45,no,38,45,17.0,78268.65,78287.09,0.00024,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR231915-15,no,46,39,15.0,78227.84,78255.38,0.00035,0,1,54.0,3.48,50.52
KXBTC15M-26APR231545-45,no,49,43,8.0,77863.05,77890.50,0.00035,0,1,51.0,3.50,47.50
KXBTC15M-26APR231100-00,no,34,54,12.0,77951.95,77928.40,0.00030,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR231030-30,no,36,48,16.0,77513.72,77521.76,0.00010,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR230730-30,no,47,44,9.0,77414.05,77432.06,0.00023,1,0,-47.0,3.49,-50.49
KXBTC15M-26APR230630-30,no,28,45,27.0,77209.42,77233.64,0.00031,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR230600-00,yes,26,52,26.0,77753.93,77748.43,0.00007,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR222100-00,no,38,53,9.0,78452.06,78428.84,0.00030,0,1,62.0,3.30,58.70
KXBTC15M-26APR221930-30,no,40,44,16.0,78571.54,78590.31,0.00024,0,1,60.0,3.36,56.64
KXBTC15M-26APR221815-15,no,32,53,15.0,78796.67,78791.08,0.00007,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR221715-15,no,28,51,21.0,78454.67,78451.63,0.00004,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR221215-15,no,40,47,13.0,79319.36,79334.41,0.00019,0,1,60.0,3.36,56.64
KXBTC15M-26APR221015-15,yes,43,52,9.0,78877.88,78864.30,0.00017,1,1,57.0,3.43,53.57
KXBTC15M-26APR220630-30,no,52,40,8.0,78020.61,78047.13,0.00034,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR220500-00,no,40,42,18.0,77948.78,77975.67,0.00034,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR220330-30,yes,52,60,8.0,78119.80,78098.66,0.00027,0,0,-52.0,3.49,-55.49
KXBTC15M-26APR220315-15,yes,46,61,15.0,78033.11,78011.43,0.00028,1,1,54.0,3.48,50.52
KXBTC15M-26APR220115-15,no,48,41,11.0,77459.52,77489.53,0.00039,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR211945-45,yes,50,59,9.0,75836.89,75807.64,0.00039,1,1,50.0,3.50,46.50
KXBTC15M-26APR211830-30,yes,29,43,14.0,75570.71,75585.10,0.00019,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR211800-00,no,40,48,12.0,75499.32,75505.48,0.00008,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR211745-45,no,43,41,16.0,75556.22,75584.93,0.00038,0,1,57.0,3.43,53.57
KXBTC15M-26APR211700-00,yes,38,47,9.0,75668.38,75690.92,0.00030,1,1,62.0,3.30,58.70
KXBTC15M-26APR211445-45,no,36,51,13.0,75450.31,75447.00,0.00004,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR211345-45,no,44,47,9.0,75296.72,75316.10,0.00026,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR211300-00,no,32,56,12.0,75935.54,75906.28,0.00039,0,1,68.0,3.05,64.95
KXBTC15M-26APR211045-45,no,38,50,12.0,76135.74,76132.44,0.00004,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR210645-45,no,43,44,13.0,76532.36,76550.43,0.00024,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR210215-15,no,45,40,15.0,75824.91,75848.50,0.00031,0,1,55.0,3.47,51.53
KXBTC15M-26APR210100-00,no,28,53,19.0,75699.43,75692.18,0.00010,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR202330-30,no,38,48,14.0,75596.77,75601.93,0.00007,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR201900-00,no,50,42,8.0,75976.33,76006.07,0.00039,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR200845-45,no,40,42,18.0,75417.79,75447.85,0.00040,0,1,60.0,3.36,56.64
KXBTC15M-26APR200230-30,yes,40,50,10.0,74328.97,74330.54,0.00002,1,1,60.0,3.36,56.64
KXBTC15M-26APR192045-45,yes,36,49,13.0,74267.68,74270.97,0.00004,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR191830-30,yes,30,47,17.0,74020.63,74047.31,0.00036,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR191715-15,no,40,51,9.0,74670.95,74665.57,0.00007,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR191045-45,yes,34,45,11.0,75987.13,76001.65,0.00019,1,1,66.0,3.14,62.86
KXBTC15M-26APR190700-00,no,46,45,9.0,75110.17,75125.32,0.00020,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR190515-15,no,36,51,13.0,75274.42,75273.90,0.00001,0,1,64.0,3.23,60.77
KXBTC15M-26APR190445-45,yes,30,65,35.0,75225.28,75204.77,0.00027,1,1,70.0,2.94,67.06
KXBTC15M-26APR190345-45,no,36,50,14.0,75034.11,75034.56,0.00001,1,0,-36.0,3.23,-39.23
