ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241145-45,no,48,41,11.0,77821.76,77849.41,0.00036,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR240945-45,no,38,50,12.0,78218.61,78216.81,0.00002,0,1,62.0,3.30,58.70
KXBTC15M-26APR240930-30,no,34,42,24.0,78355.01,78382.59,0.00035,0,1,66.0,3.14,62.86
KXBTC15M-26APR240815-15,yes,42,62,20.0,78299.91,78269.28,0.00039,1,1,58.0,3.41,54.59
KXBTC15M-26APR240345-45,yes,26,51,25.0,77735.00,77732.59,0.00003,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR240215-15,yes,36,60,24.0,78011.37,77982.08,0.00038,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR232000-00,yes,54,63,9.0,78299.30,78274.36,0.00032,1,1,46.0,3.48,42.52
KXBTC15M-26APR231945-45,no,30,37,33.0,78137.77,78162.17,0.00031,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR231900-00,no,50,40,10.0,78298.48,78320.32,0.00028,0,1,50.0,3.50,46.50
KXBTC15M-26APR231700-00,yes,22,49,27.0,77995.86,77997.99,0.00003,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR230745-45,yes,18,43,25.0,77477.33,77492.26,0.00019,1,1,82.0,2.07,79.93
KXBTC15M-26APR230645-45,no,38,52,10.0,77415.65,77405.66,0.00013,0,1,62.0,3.30,58.70
KXBTC15M-26APR230630-30,no,20,44,36.0,77209.42,77233.64,0.00031,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR230530-30,no,18,50,32.0,77591.56,77591.51,0.00000,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR222130-30,yes,22,48,26.0,78274.41,78284.16,0.00012,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR221600-00,no,43,44,13.0,78874.91,78895.49,0.00026,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR221415-15,no,44,45,11.0,78906.98,78926.23,0.00024,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR221000-00,no,38,51,11.0,78638.24,78632.19,0.00008,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR220600-00,yes,34,44,10.0,78144.75,78159.50,0.00019,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR220500-00,no,48,41,11.0,77948.78,77975.67,0.00034,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR220400-00,yes,32,58,26.0,78084.98,78061.52,0.00030,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR220230-30,yes,46,55,9.0,78040.66,78012.73,0.00036,0,0,-46.0,3.48,-49.48
KXBTC15M-26APR220015-15,no,34,53,13.0,77578.50,77568.66,0.00013,0,1,66.0,3.14,62.86
KXBTC15M-26APR212115-15,no,28,56,16.0,76330.60,76312.89,0.00023,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR212015-15,yes,42,58,16.0,76373.89,76351.47,0.00029,1,1,58.0,3.41,54.59
KXBTC15M-26APR211945-45,no,22,50,28.0,75807.44,75807.64,0.00000,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR211630-30,yes,40,49,9.0,75571.31,75577.49,0.00008,1,1,60.0,3.36,56.64
KXBTC15M-26APR211530-30,yes,34,43,9.0,75661.56,75689.67,0.00037,1,1,66.0,3.14,62.86
KXBTC15M-26APR210915-15,yes,22,48,26.0,76045.36,76053.40,0.00011,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR210900-00,yes,42,53,11.0,75844.23,75833.47,0.00014,1,1,58.0,3.41,54.59
KXBTC15M-26APR210100-00,no,16,54,30.0,75699.43,75692.18,0.00010,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR210045-45,yes,27,37,10.0,75663.37,75688.18,0.00033,1,1,73.0,2.76,70.24
KXBTC15M-26APR202345-45,no,32,40,28.0,75643.18,75664.22,0.00028,0,1,68.0,3.05,64.95
KXBTC15M-26APR201800-00,no,44,45,11.0,75919.73,75938.75,0.00025,1,0,-44.0,3.45,-47.45
