ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241145-45,no,48,31,21.0,77820.78,77849.41,0.00037,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR240945-45,yes,24,51,27.0,78218.61,78216.81,0.00002,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR240530-30,no,48,35,17.0,77492.39,77513.73,0.00028,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR240300-00,yes,5,38,33.0,77860.69,77871.91,0.00014,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR232000-00,no,54,28,18.0,78254.34,78274.36,0.00026,1,0,-54.0,3.48,-57.48
KXBTC15M-26APR231215-15,no,38,52,10.0,78421.43,78416.97,0.00006,0,1,62.0,3.30,58.70
KXBTC15M-26APR231015-15,no,34,40,26.0,77536.18,77551.80,0.00020,0,1,66.0,3.14,62.86
KXBTC15M-26APR230945-45,yes,14,50,36.0,77626.00,77626.49,0.00001,0,0,-14.0,1.69,-15.69
KXBTC15M-26APR230815-15,no,8,74,18.0,77748.53,77728.27,0.00026,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR230715-15,no,37,43,20.0,77422.07,77429.64,0.00010,1,0,-37.0,3.26,-40.26
KXBTC15M-26APR230645-45,no,18,51,31.0,77407.78,77405.66,0.00003,0,1,82.0,2.07,79.93
KXBTC15M-26APR230530-30,no,12,71,17.0,77617.02,77591.51,0.00033,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR222045-45,no,40,52,8.0,78433.04,78426.09,0.00009,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR221730-30,no,16,31,53.0,78581.55,78596.42,0.00019,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR221500-00,no,16,45,39.0,79008.53,79013.11,0.00006,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR220715-15,no,8,61,31.0,78190.06,78176.49,0.00017,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR220700-00,no,36,15,49.0,78109.07,78138.16,0.00037,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR220300-00,no,22,58,20.0,77987.77,77981.47,0.00008,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR220245-45,no,24,38,38.0,77936.59,77955.06,0.00024,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR220230-30,yes,16,63,47.0,78040.66,78012.73,0.00036,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR220215-15,yes,9,49,40.0,78001.86,78004.98,0.00004,1,1,91.0,1.15,89.85
KXBTC15M-26APR220000-00,no,18,50,32.0,77583.95,77584.76,0.00001,0,1,82.0,2.07,79.93
KXBTC15M-26APR211645-45,no,14,50,36.0,75671.83,75672.31,0.00001,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR211415-15,no,24,48,28.0,75556.61,75561.72,0.00007,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR211200-00,no,18,33,49.0,75721.17,75751.10,0.00040,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR210930-30,no,14,47,39.0,76032.99,76038.36,0.00007,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR210800-00,yes,26,40,14.0,76488.59,76504.58,0.00021,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR210415-15,no,52,35,13.0,76104.39,76133.25,0.00038,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR210300-00,no,38,41,21.0,76022.38,76034.37,0.00016,0,1,62.0,3.30,58.70
KXBTC15M-26APR202230-30,no,16,32,52.0,75735.27,75759.49,0.00032,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR202115-15,no,22,33,45.0,76092.74,76116.95,0.00032,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR201200-00,no,12,52,36.0,75632.26,75627.28,0.00007,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR200945-45,no,8,44,48.0,75170.95,75184.17,0.00018,1,0,-8.0,1.03,-9.03
