ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240945-45,no,28,51,21.0,78218.61,78216.81,0.00002,0,1,72.0,2.82,69.18
KXBTC15M-26APR240530-30,no,45,40,15.0,77492.39,77513.73,0.00028,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR240230-30,yes,32,53,21.0,77951.32,77946.06,0.00007,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR232245-45,no,12,55,33.0,78297.16,78287.09,0.00013,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR232045-45,no,12,49,39.0,78429.23,78430.74,0.00002,0,1,88.0,1.48,86.52
KXBTC15M-26APR232030-30,no,19,70,11.0,78345.66,78315.19,0.00039,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR231845-45,no,18,53,29.0,78236.94,78231.64,0.00007,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR230715-15,no,24,62,14.0,77455.19,77429.64,0.00033,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR230530-30,yes,24,62,38.0,77617.02,77591.51,0.00033,1,1,76.0,2.55,73.45
KXBTC15M-26APR230130-30,yes,9,34,25.0,77990.35,78016.95,0.00034,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR222100-00,yes,31,49,18.0,78421.83,78428.84,0.00009,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR222000-00,yes,12,50,38.0,78292.72,78292.55,0.00000,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR221800-00,no,36,51,13.0,78766.67,78766.01,0.00001,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR221115-15,yes,16,45,29.0,79077.71,79098.06,0.00026,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR220915-15,no,40,49,11.0,78271.22,78273.38,0.00003,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR220345-45,no,20,52,28.0,77877.39,77873.22,0.00005,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR220300-00,no,18,62,20.0,78003.20,77981.47,0.00028,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR220230-30,yes,22,57,35.0,78040.66,78012.73,0.00036,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR220015-15,no,34,51,15.0,77571.75,77568.66,0.00004,0,1,66.0,3.14,62.86
KXBTC15M-26APR212115-15,no,19,59,22.0,76331.16,76312.89,0.00024,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR212015-15,no,8,44,48.0,76338.50,76351.47,0.00017,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR211745-45,no,18,42,40.0,75571.22,75584.93,0.00018,0,1,82.0,2.07,79.93
KXBTC15M-26APR211730-30,no,24,48,28.0,75594.94,75599.79,0.00006,0,1,76.0,2.55,73.45
KXBTC15M-26APR211700-00,no,22,52,26.0,75697.65,75690.92,0.00009,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR211415-15,no,26,50,24.0,75560.36,75561.72,0.00002,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR210645-45,no,38,45,17.0,76542.03,76550.43,0.00011,1,0,-38.0,3.30,-41.30
