ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR232100-00,ATM_REVERSION,T060,no,33,78436.08,78413.70,0,1,67.0,3.10,63.90
KXBTC15M-26APR232015-15,ATM_REVERSION,T060,no,33,78265.13,78278.12,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR231945-45,ATM_REVERSION,T060,no,35,78165.80,78162.17,1,0,-35.0,3.19,-38.19
KXBTC15M-26APR230800-00,ATM_REVERSION,T060,no,35,77616.95,77601.02,1,0,-35.0,3.19,-38.19
KXBTC15M-26APR230600-00,ATM_REVERSION,T060,yes,27,77753.93,77748.43,0,0,-27.0,2.76,-29.76
KXBTC15M-26APR221815-15,ATM_REVERSION,T060,no,33,78796.67,78791.08,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR221715-15,ATM_REVERSION,T060,no,29,78454.67,78451.63,1,0,-29.0,2.88,-31.88
KXBTC15M-26APR211830-30,ATM_REVERSION,T060,yes,29,75570.71,75585.10,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR210530-30,ATM_REVERSION,T060,no,35,76498.35,76508.42,0,1,65.0,3.19,61.81
KXBTC15M-26APR210130-30,ATM_REVERSION,T060,no,34,75906.23,75922.05,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR210100-00,ATM_REVERSION,T060,no,28,75699.43,75692.18,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR201345-45,ATM_REVERSION,T060,yes,28,75757.50,75776.11,1,1,72.0,2.82,69.18
KXBTC15M-26APR200315-15,ATM_REVERSION,T060,no,34,74835.89,74817.47,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR191800-00,ATM_REVERSION,T060,no,35,74769.26,74779.72,0,1,65.0,3.19,61.81
KXBTC15M-26APR191515-15,ATM_REVERSION,T060,no,20,74789.58,74803.90,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR191045-45,ATM_REVERSION,T060,yes,34,75987.13,76001.65,1,1,66.0,3.14,62.86
KXBTC15M-26APR190445-45,ATM_REVERSION,T060,yes,30,75225.28,75204.77,1,1,70.0,2.94,67.06
KXBTC15M-26APR182230-30,ATM_REVERSION,T060,no,34,75649.99,75649.54,0,1,66.0,3.14,62.86
KXBTC15M-26APR181430-30,ATM_REVERSION,T060,yes,29,75814.27,75833.99,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR180615-15,ATM_REVERSION,T060,yes,32,76618.40,76632.20,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR180515-15,ATM_REVERSION,T060,yes,29,76754.51,76763.60,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR180500-00,ATM_REVERSION,T060,no,17,76542.83,76553.78,1,0,-17.0,1.98,-18.98
KXBTC15M-26APR180400-00,ATM_REVERSION,T060,no,33,77020.67,77016.72,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR172245-45,ATM_REVERSION,T060,yes,34,77335.50,77354.57,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR172230-30,ATM_REVERSION,T060,no,16,77298.72,77289.07,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR171200-00,ATM_REVERSION,T060,no,27,77575.86,77558.51,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR170700-00,ATM_REVERSION,T060,yes,35,75198.08,75200.45,1,1,65.0,3.19,61.81
KXBTC15M-26APR170615-15,ATM_REVERSION,T060,yes,35,75805.70,75802.91,0,0,-35.0,3.19,-38.19
KXBTC15M-26APR170345-45,ATM_REVERSION,T060,no,23,74962.60,74979.54,1,0,-23.0,2.48,-25.48
KXBTC15M-26APR170230-30,ATM_REVERSION,T060,no,30,74760.30,74779.86,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR162345-45,ATM_REVERSION,T060,no,32,74732.32,74725.98,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR161400-00,ATM_REVERSION,T060,yes,34,74396.31,74411.85,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR160530-30,ATM_REVERSION,T060,no,32,74785.50,74764.65,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR152330-30,ATM_REVERSION,T060,no,33,75006.11,74998.26,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR151230-30,ATM_REVERSION,T060,no,33,74025.60,74004.02,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR150415-15,ATM_REVERSION,T060,yes,33,73776.00,73762.70,1,1,67.0,3.10,63.90
KXBTC15M-26APR141900-00,ATM_REVERSION,T060,no,35,74027.00,74020.90,1,0,-35.0,3.19,-38.19
KXBTC15M-26APR141515-15,ATM_REVERSION,T060,no,33,74147.26,74125.07,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR140845-45,ATM_REVERSION,T060,no,27,74329.40,74317.94,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR132230-30,ATM_REVERSION,T060,yes,35,74484.00,74498.73,0,0,-35.0,3.19,-38.19
KXBTC15M-26APR132030-30,ATM_REVERSION,T060,no,35,74337.28,74329.26,0,1,65.0,3.19,61.81
KXBTC15M-26APR130630-30,ATM_REVERSION,T060,yes,13,70812.56,70829.59,0,0,-13.0,1.58,-14.58
KXBTC15M-26APR130530-30,ATM_REVERSION,T060,yes,34,70715.93,70727.40,1,1,66.0,3.14,62.86
KXBTC15M-26APR130415-15,ATM_REVERSION,T060,yes,32,70830.61,70836.59,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR130230-30,ATM_REVERSION,T060,yes,35,70999.27,71017.35,1,1,65.0,3.19,61.81
KXBTC15M-26APR130215-15,ATM_REVERSION,T060,no,29,70862.42,70877.38,1,0,-29.0,2.88,-31.88
KXBTC15M-26APR111515-15,ATM_REVERSION,T060,no,34,73572.97,73565.79,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR110830-30,ATM_REVERSION,T060,no,15,72928.61,72927.98,0,1,85.0,1.79,83.22
KXBTC15M-26APR100745-45,ATM_REVERSION,T060,no,33,72218.68,72197.69,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR081745-45,ATM_REVERSION,T060,yes,26,71708.19,71703.32,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR081645-45,ATM_REVERSION,T060,yes,34,71443.93,71449.29,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR081515-15,ATM_REVERSION,T060,yes,34,71094.64,71104.83,1,1,66.0,3.14,62.86
KXBTC15M-26APR070745-45,ATM_REVERSION,T060,yes,33,68385.50,68384.06,1,1,67.0,3.10,63.90
KXBTC15M-26APR070315-15,ATM_REVERSION,T060,yes,26,68596.75,68582.09,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR070115-15,ATM_REVERSION,T060,yes,34,68841.70,68855.32,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR061145-45,ATM_REVERSION,T060,no,30,69717.56,69709.77,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR051615-15,ATM_REVERSION,T060,no,30,67321.52,67335.23,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR051445-45,ATM_REVERSION,T060,no,33,67294.92,67285.07,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR051315-15,ATM_REVERSION,T060,no,35,67207.02,67194.88,1,0,-35.0,3.19,-38.19
KXBTC15M-26APR051030-30,ATM_REVERSION,T060,yes,33,66853.28,66863.23,1,1,67.0,3.10,63.90
KXBTC15M-26APR050615-15,ATM_REVERSION,T060,yes,21,67001.17,67019.69,0,0,-21.0,2.32,-23.32
KXBTC15M-26APR050545-45,ATM_REVERSION,T060,yes,33,66994.66,67001.10,1,1,67.0,3.10,63.90
KXBTC15M-26APR050345-45,ATM_REVERSION,T060,yes,34,66815.28,66804.82,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR050230-30,ATM_REVERSION,T060,no,34,66653.58,66635.21,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR041800-00,ATM_REVERSION,T060,no,21,67297.86,67292.44,1,0,-21.0,2.32,-23.32
KXBTC15M-26APR041430-30,ATM_REVERSION,T060,no,27,67346.09,67330.11,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR041415-15,ATM_REVERSION,T060,yes,31,67323.95,67341.83,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR041245-45,ATM_REVERSION,T060,yes,29,67456.46,67454.99,1,1,71.0,2.88,68.12
KXBTC15M-26APR040730-30,ATM_REVERSION,T060,yes,30,67180.33,67166.18,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR040615-15,ATM_REVERSION,T060,no,35,66984.14,66974.61,0,1,65.0,3.19,61.81
KXBTC15M-26APR040545-45,ATM_REVERSION,T060,no,32,66958.92,66949.88,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR040200-00,ATM_REVERSION,T060,no,33,66909.59,66894.26,1,0,-33.0,3.10,-36.10
KXBTC15M-26APR032130-30,ATM_REVERSION,T060,yes,34,66861.58,66868.56,1,1,66.0,3.14,62.86
KXBTC15M-26APR032000-00,ATM_REVERSION,T060,no,25,66883.35,66863.78,1,0,-25.0,2.63,-27.62
KXBTC15M-26APR031345-45,ATM_REVERSION,T060,no,30,66888.49,66878.12,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR031130-30,ATM_REVERSION,T060,yes,32,66969.82,66956.38,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR031115-15,ATM_REVERSION,T060,yes,32,66942.29,66960.46,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR030615-15,ATM_REVERSION,T060,yes,29,66856.07,66862.78,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR030600-00,ATM_REVERSION,T060,yes,33,66885.68,66905.27,0,0,-33.0,3.10,-36.10
KXBTC15M-26APR022100-00,ATM_REVERSION,T060,yes,28,66802.60,66819.53,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR021615-15,ATM_REVERSION,T060,yes,22,66997.36,66978.70,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR010630-30,ATM_REVERSION,T060,yes,33,68541.01,68552.67,0,0,-33.0,3.10,-36.10
KXBTC15M-26MAR312015-15,ATM_REVERSION,T060,yes,27,68245.47,68243.74,0,0,-27.0,2.76,-29.76
KXBTC15M-26MAR302315-15,ATM_REVERSION,T060,yes,21,67927.78,67944.68,0,0,-21.0,2.32,-23.32
KXBTC15M-26MAR301915-15,ATM_REVERSION,T060,yes,29,66721.38,66739.83,0,0,-29.0,2.88,-31.88
KXBTC15M-26MAR301230-30,ATM_REVERSION,T060,yes,32,67391.65,67405.61,0,0,-32.0,3.05,-35.05
KXBTC15M-26MAR300615-15,ATM_REVERSION,T060,yes,23,67470.48,67456.25,0,0,-23.0,2.48,-25.48
KXBTC15M-26MAR291400-00,ATM_REVERSION,T060,yes,31,66369.47,66354.35,0,0,-31.0,2.99,-33.99
KXBTC15M-26MAR290615-15,ATM_REVERSION,T060,yes,29,66569.70,66578.03,0,0,-29.0,2.88,-31.88
KXBTC15M-26MAR290315-15,ATM_REVERSION,T060,yes,16,66677.18,66691.73,0,0,-16.0,1.88,-17.88
KXBTC15M-26MAR282245-45,ATM_REVERSION,T060,yes,33,66608.81,66605.91,1,1,67.0,3.10,63.90
KXBTC15M-26MAR281615-15,ATM_REVERSION,T060,no,27,66866.67,66865.04,1,0,-27.0,2.76,-29.76
KXBTC15M-26MAR280945-45,ATM_REVERSION,T060,no,28,66394.08,66398.96,1,0,-28.0,2.82,-30.82
KXBTC15M-26MAR272115-15,ATM_REVERSION,T060,yes,32,66370.47,66387.49,0,0,-32.0,3.05,-35.05
KXBTC15M-26MAR262100-00,ATM_REVERSION,T060,yes,29,68652.28,68672.23,1,1,71.0,2.88,68.12
KXBTC15M-26MAR260530-30,ATM_REVERSION,T060,yes,34,70020.81,70021.69,0,0,-34.0,3.14,-37.14
