ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR240945-45,BB_PURE_MEANREV,T600,no,29,78218.61,78216.81,0,1,71.0,2.88,68.12
KXBTC15M-26APR240530-30,BB_PURE_MEANREV,T600,no,46,77492.39,77513.73,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR240230-30,BB_PURE_MEANREV,T600,yes,31,77951.32,77946.06,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR232245-45,BB_PURE_MEANREV,T600,no,12,78297.16,78287.09,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR232045-45,BB_PURE_MEANREV,T600,no,12,78429.23,78430.74,0,1,88.0,1.48,86.52
KXBTC15M-26APR232030-30,BB_PURE_MEANREV,T600,no,19,78345.66,78315.19,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR231845-45,BB_PURE_MEANREV,T600,no,19,78236.94,78231.64,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR230715-15,BB_PURE_MEANREV,T600,no,25,77455.19,77429.64,1,0,-25.0,2.63,-27.62
KXBTC15M-26APR230530-30,BB_PURE_MEANREV,T600,yes,23,77617.02,77591.51,1,1,77.0,2.48,74.52
KXBTC15M-26APR230130-30,BB_PURE_MEANREV,T600,yes,9,77990.35,78016.95,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR222100-00,BB_PURE_MEANREV,T600,yes,31,78421.83,78428.84,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR222000-00,BB_PURE_MEANREV,T600,yes,12,78292.72,78292.55,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR221800-00,BB_PURE_MEANREV,T600,no,37,78766.67,78766.01,1,0,-37.0,3.26,-40.26
KXBTC15M-26APR221115-15,BB_PURE_MEANREV,T600,yes,15,79077.71,79098.06,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR220915-15,BB_PURE_MEANREV,T600,no,41,78271.22,78273.38,1,0,-41.0,3.39,-44.39
KXBTC15M-26APR220345-45,BB_PURE_MEANREV,T600,no,20,77877.39,77873.22,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR220300-00,BB_PURE_MEANREV,T600,no,19,78003.20,77981.47,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR220230-30,BB_PURE_MEANREV,T600,yes,22,78040.66,78012.73,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR220015-15,BB_PURE_MEANREV,T600,no,34,77571.75,77568.66,0,1,66.0,3.14,62.86
KXBTC15M-26APR212115-15,BB_PURE_MEANREV,T600,no,19,76331.16,76312.89,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR212015-15,BB_PURE_MEANREV,T600,no,8,76338.50,76351.47,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR211745-45,BB_PURE_MEANREV,T600,no,18,75571.22,75584.93,0,1,82.0,2.07,79.93
KXBTC15M-26APR211730-30,BB_PURE_MEANREV,T600,no,24,75594.94,75599.79,0,1,76.0,2.55,73.45
KXBTC15M-26APR211700-00,BB_PURE_MEANREV,T600,no,23,75697.65,75690.92,1,0,-23.0,2.48,-25.48
KXBTC15M-26APR211415-15,BB_PURE_MEANREV,T600,no,27,75560.36,75561.72,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR210645-45,BB_PURE_MEANREV,T600,no,38,76542.03,76550.43,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR210445-45,BB_PURE_MEANREV,T600,yes,38,76416.34,76396.31,1,1,62.0,3.30,58.70
KXBTC15M-26APR210345-45,BB_PURE_MEANREV,T600,yes,50,76228.00,76205.91,1,1,50.0,3.50,46.50
KXBTC15M-26APR210300-00,BB_PURE_MEANREV,T600,yes,24,76022.38,76034.37,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR201700-00,BB_PURE_MEANREV,T600,no,20,76294.13,76288.29,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR201545-45,BB_PURE_MEANREV,T600,no,21,76245.65,76238.51,1,0,-21.0,2.32,-23.32
KXBTC15M-26APR201145-45,BB_PURE_MEANREV,T600,yes,28,75703.29,75680.32,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR200945-45,BB_PURE_MEANREV,T600,no,20,75179.93,75184.17,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR200630-30,BB_PURE_MEANREV,T600,yes,28,75401.45,75375.23,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR200545-45,BB_PURE_MEANREV,T600,no,6,75022.25,75037.64,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR200530-30,BB_PURE_MEANREV,T600,no,26,75060.11,75068.39,0,1,74.0,2.69,71.31
KXBTC15M-26APR200000-00,BB_PURE_MEANREV,T600,no,13,74595.51,74608.74,1,0,-13.0,1.58,-14.58
KXBTC15M-26APR192300-00,BB_PURE_MEANREV,T600,no,40,74487.67,74496.58,0,1,60.0,3.36,56.64
KXBTC15M-26APR192230-30,BB_PURE_MEANREV,T600,no,14,74388.60,74407.63,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR192115-15,BB_PURE_MEANREV,T600,yes,32,74333.44,74350.32,1,1,68.0,3.05,64.95
KXBTC15M-26APR191630-30,BB_PURE_MEANREV,T600,yes,5,74815.24,74813.53,0,0,-5.0,0.67,-5.67
KXBTC15M-26APR191545-45,BB_PURE_MEANREV,T600,no,41,74973.16,74997.11,1,0,-41.0,3.39,-44.39
KXBTC15M-26APR191530-30,BB_PURE_MEANREV,T600,yes,9,75004.32,74994.71,1,1,91.0,1.15,89.85
KXBTC15M-26APR191330-30,BB_PURE_MEANREV,T600,yes,30,75256.73,75275.98,1,1,70.0,2.94,67.06
KXBTC15M-26APR191245-45,BB_PURE_MEANREV,T600,no,19,75625.79,75608.21,0,1,81.0,2.15,78.85
KXBTC15M-26APR191045-45,BB_PURE_MEANREV,T600,yes,30,76005.76,76001.65,1,1,70.0,2.94,67.06
KXBTC15M-26APR190645-45,BB_PURE_MEANREV,T600,yes,27,75110.17,75121.60,1,1,73.0,2.76,70.24
