ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241030-30,BB_TREND,T600,no,60,77800.08,77918.35,0,1,40.0,3.36,36.64
KXBTC15M-26APR231630-30,BB_TREND,T600,no,79,77708.67,77835.91,0,1,21.0,2.32,18.68
KXBTC15M-26APR222345-45,BB_TREND,T600,no,80,77496.12,77729.91,0,1,20.0,2.24,17.76
KXBTC15M-26APR222015-15,BB_TREND,T600,no,64,78075.47,78207.29,0,1,36.0,3.23,32.77
KXBTC15M-26APR212215-15,BB_TREND,T600,yes,77,76569.64,76322.81,1,1,23.0,2.48,20.52
KXBTC15M-26APR211300-00,BB_TREND,T600,yes,70,76028.49,75906.28,0,0,-70.0,2.94,-72.94
KXBTC15M-26APR210815-15,BB_TREND,T600,no,73,76360.81,76499.49,0,1,27.0,2.76,24.24
KXBTC15M-26APR201045-45,BB_TREND,T600,no,73,75337.65,75571.86,0,1,27.0,2.76,24.24
KXBTC15M-26APR191345-45,BB_TREND,T600,no,77,75143.22,75299.67,0,1,23.0,2.48,20.52
KXBTC15M-26APR190730-30,BB_TREND,T600,yes,53,75578.08,75425.02,0,0,-53.0,3.49,-56.49
KXBTC15M-26APR190600-00,BB_TREND,T600,no,80,74956.98,75111.93,0,1,20.0,2.24,17.76
KXBTC15M-26APR181115-15,BB_TREND,T600,no,78,76158.40,76283.99,0,1,22.0,2.40,19.60
KXBTC15M-26APR171100-00,BB_TREND,T600,no,69,77791.08,77963.87,1,0,-69.0,2.99,-71.99
KXBTC15M-26APR170945-45,BB_TREND,T600,no,65,76515.51,76656.90,1,0,-65.0,3.19,-68.19
KXBTC15M-26APR161215-15,BB_TREND,T600,yes,59,74915.31,74748.37,0,0,-59.0,3.39,-62.39
KXBTC15M-26APR151900-00,BB_TREND,T600,no,42,74950.73,75099.95,0,1,58.0,3.41,54.59
KXBTC15M-26APR131245-45,BB_TREND,T600,yes,76,72373.17,72251.43,1,1,24.0,2.55,21.45
KXBTC15M-26APR131130-30,BB_TREND,T600,yes,55,71948.70,7.20,1,1,45.0,3.46,41.53
KXBTC15M-26APR130500-00,BB_TREND,T600,no,34,70534.21,70643.33,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR122045-45,BB_TREND,T600,yes,73,71135.87,71019.60,1,1,27.0,2.76,24.24
KXBTC15M-26APR101145-45,BB_TREND,T600,no,76,72632.63,72845.16,0,1,24.0,2.55,21.45
KXBTC15M-26APR100830-30,BB_TREND,T600,yes,65,72301.12,72113.10,0,0,-65.0,3.19,-68.19
KXBTC15M-26APR091730-30,BB_TREND,T600,no,66,72187.28,72344.07,0,1,34.0,3.14,30.86
KXBTC15M-26APR081515-15,BB_TREND,T600,yes,78,71239.84,71104.83,1,1,22.0,2.40,19.60
KXBTC15M-26APR080545-45,BB_TREND,T600,yes,43,71900.15,71695.25,0,0,-43.0,3.43,-46.43
KXBTC15M-26APR071200-00,BB_TREND,T600,yes,75,68249.38,68112.78,1,1,25.0,2.63,22.38
KXBTC15M-26APR070900-00,BB_TREND,T600,yes,60,68593.44,68317.17,1,1,40.0,3.36,36.64
KXBTC15M-26APR070630-30,BB_TREND,T600,no,23,68824.60,68940.29,0,1,77.0,2.48,74.52
KXBTC15M-26APR061815-15,BB_TREND,T600,yes,52,69734.00,69519.12,1,1,48.0,3.49,44.51
KXBTC15M-26APR061300-00,BB_TREND,T600,no,76,69962.33,70107.18,0,1,24.0,2.55,21.45
KXBTC15M-26APR052145-45,BB_TREND,T600,yes,17,69113.99,68948.40,0,0,-17.0,1.98,-18.98
KXBTC15M-26APR052045-45,BB_TREND,T600,yes,69,69297.00,69161.27,1,1,31.0,2.99,28.01
