ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR230715-15,no,22,44,34.0,77401.61,77429.64,0.00036,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR230630-30,no,28,45,27.0,77209.42,77233.64,0.00031,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR230600-00,yes,26,52,26.0,77753.93,77748.43,0.00007,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR221715-15,no,28,51,21.0,78454.67,78451.63,0.00004,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR220630-30,no,52,40,8.0,78020.61,78047.13,0.00034,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR220330-30,yes,52,60,8.0,78119.80,78098.66,0.00027,0,0,-52.0,3.49,-55.49
KXBTC15M-26APR211945-45,yes,50,59,9.0,75836.89,75807.64,0.00039,1,1,50.0,3.50,46.50
KXBTC15M-26APR211830-30,yes,29,43,14.0,75570.71,75585.10,0.00019,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR210100-00,no,28,53,19.0,75699.43,75692.18,0.00010,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR210045-45,no,52,40,8.0,75663.37,75688.18,0.00033,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR201900-00,no,50,42,8.0,75976.33,76006.07,0.00039,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR201345-45,yes,28,46,18.0,75757.50,75776.11,0.00025,1,1,72.0,2.82,69.18
KXBTC15M-26APR191515-15,no,20,46,34.0,74789.58,74803.90,0.00019,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR181430-30,yes,29,41,12.0,75814.27,75833.99,0.00026,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR181400-00,no,50,35,15.0,75890.61,75919.56,0.00038,0,1,50.0,3.50,46.50
KXBTC15M-26APR180900-00,no,28,42,30.0,76169.99,76197.71,0.00036,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR180630-30,no,26,43,31.0,76285.54,76314.14,0.00037,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR180515-15,yes,29,48,19.0,76754.51,76763.60,0.00012,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR180330-30,no,52,31,17.0,77075.59,77101.68,0.00034,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR171200-00,no,26,53,21.0,77575.86,77558.51,0.00022,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR170345-45,no,22,39,39.0,74962.60,74979.54,0.00023,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR170045-45,no,50,40,10.0,74757.28,74776.09,0.00025,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR160015-15,no,50,40,10.0,74867.81,74895.79,0.00037,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR151130-30,no,28,54,18.0,74197.52,74173.30,0.00033,0,1,72.0,2.82,69.18
KXBTC15M-26APR140845-45,no,26,54,20.0,74329.40,74317.94,0.00015,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR130215-15,no,28,44,28.0,70862.42,70877.38,0.00021,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR120200-00,no,50,39,11.0,71660.74,71683.00,0.00031,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR111700-00,no,50,41,9.0,73349.71,73373.20,0.00032,0,1,50.0,3.50,46.50
KXBTC15M-26APR111230-30,no,26,64,10.0,72930.88,72904.46,0.00036,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR110730-30,no,52,32,16.0,72880.24,72904.59,0.00033,0,1,48.0,3.49,44.51
KXBTC15M-26APR100715-15,no,52,36,12.0,71907.93,71924.08,0.00022,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR100100-00,no,52,36,12.0,71890.52,71913.76,0.00032,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR090600-00,no,27,57,16.0,71306.96,71282.22,0.00035,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR081745-45,yes,25,52,27.0,71708.19,71703.32,0.00007,0,0,-25.0,2.63,-27.62
