ticker,strategy,timing,side,entry_c,btc,strike,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241145-45,FULL_STACK,T300,no,49,77821.76,77849.41,1,0,-49.0,3.50,-52.50
KXBTC15M-26APR240945-45,FULL_STACK,T300,no,38,78218.61,78216.81,0,1,62.0,3.30,58.70
KXBTC15M-26APR240930-30,FULL_STACK,T300,no,34,78355.01,78382.59,0,1,66.0,3.14,62.86
KXBTC15M-26APR240830-30,FULL_STACK,T300,no,59,78218.15,78335.78,0,1,41.0,3.39,37.61
KXBTC15M-26APR240815-15,FULL_STACK,T300,yes,41,78299.91,78269.28,1,1,59.0,3.39,55.61
KXBTC15M-26APR240345-45,FULL_STACK,T300,yes,26,77735.00,77732.59,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR240215-15,FULL_STACK,T300,yes,36,78011.37,77982.08,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR232145-45,FULL_STACK,T300,no,62,77955.96,78091.26,0,1,38.0,3.30,34.70
KXBTC15M-26APR232000-00,FULL_STACK,T300,yes,53,78299.30,78274.36,1,1,47.0,3.49,43.51
KXBTC15M-26APR231945-45,FULL_STACK,T300,no,31,78137.77,78162.17,1,0,-31.0,2.99,-33.99
KXBTC15M-26APR231900-00,FULL_STACK,T300,no,51,78298.48,78320.32,0,1,49.0,3.50,45.50
KXBTC15M-26APR231700-00,FULL_STACK,T300,yes,21,77995.86,77997.99,0,0,-21.0,2.32,-23.32
KXBTC15M-26APR231045-45,FULL_STACK,T300,no,48,77704.00,77842.93,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR230745-45,FULL_STACK,T300,yes,18,77477.33,77492.26,1,1,82.0,2.07,79.93
KXBTC15M-26APR230645-45,FULL_STACK,T300,no,39,77415.65,77405.66,0,1,61.0,3.33,57.67
KXBTC15M-26APR230630-30,FULL_STACK,T300,no,20,77209.42,77233.64,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR230615-15,FULL_STACK,T300,no,60,77375.07,77658.63,0,1,40.0,3.36,36.64
KXBTC15M-26APR230530-30,FULL_STACK,T300,no,19,77591.56,77591.51,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR222130-30,FULL_STACK,T300,yes,21,78274.41,78284.16,0,0,-21.0,2.32,-23.32
KXBTC15M-26APR221600-00,FULL_STACK,T300,no,43,78874.91,78895.49,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR221545-45,FULL_STACK,T300,no,73,78860.42,79035.18,0,1,27.0,2.76,24.24
KXBTC15M-26APR221415-15,FULL_STACK,T300,no,45,78906.98,78926.23,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR221000-00,FULL_STACK,T300,no,39,78638.24,78632.19,1,0,-39.0,3.33,-42.33
KXBTC15M-26APR220945-45,FULL_STACK,T300,no,51,78342.00,78488.12,1,0,-51.0,3.50,-54.50
KXBTC15M-26APR220600-00,FULL_STACK,T300,yes,33,78144.75,78159.50,0,0,-33.0,3.10,-36.10
KXBTC15M-26APR220500-00,FULL_STACK,T300,no,49,77948.78,77975.67,1,0,-49.0,3.50,-52.50
KXBTC15M-26APR220400-00,FULL_STACK,T300,yes,32,78084.98,78061.52,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR220230-30,FULL_STACK,T300,yes,46,78040.66,78012.73,0,0,-46.0,3.48,-49.48
KXBTC15M-26APR220030-30,FULL_STACK,T300,no,72,77379.23,77528.59,0,1,28.0,2.82,25.18
KXBTC15M-26APR220015-15,FULL_STACK,T300,no,34,77578.50,77568.66,0,1,66.0,3.14,62.86
KXBTC15M-26APR212115-15,FULL_STACK,T300,no,29,76330.60,76312.89,1,0,-29.0,2.88,-31.88
KXBTC15M-26APR212015-15,FULL_STACK,T300,yes,42,76373.89,76351.47,1,1,58.0,3.41,54.59
KXBTC15M-26APR211945-45,FULL_STACK,T300,no,23,75807.44,75807.64,1,0,-23.0,2.48,-25.48
KXBTC15M-26APR211630-30,FULL_STACK,T300,yes,39,75571.31,75577.49,1,1,61.0,3.33,57.67
KXBTC15M-26APR211530-30,FULL_STACK,T300,yes,33,75661.56,75689.67,1,1,67.0,3.10,63.90
KXBTC15M-26APR211315-15,FULL_STACK,T300,no,61,75667.39,75802.38,0,1,39.0,3.33,35.67
KXBTC15M-26APR210945-45,FULL_STACK,T300,no,73,75900.00,76054.79,1,0,-73.0,2.76,-75.76
KXBTC15M-26APR210915-15,FULL_STACK,T300,yes,22,76045.36,76053.40,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR210900-00,FULL_STACK,T300,yes,41,75844.23,75833.47,1,1,59.0,3.39,55.61
KXBTC15M-26APR210100-00,FULL_STACK,T300,no,17,75699.43,75692.18,1,0,-17.0,1.98,-18.98
KXBTC15M-26APR210045-45,FULL_STACK,T300,yes,27,75663.37,75688.18,1,1,73.0,2.76,70.24
KXBTC15M-26APR202345-45,FULL_STACK,T300,no,32,75643.18,75664.22,0,1,68.0,3.05,64.95
KXBTC15M-26APR201800-00,FULL_STACK,T300,no,44,75919.73,75938.75,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR201645-45,FULL_STACK,T300,no,73,76242.14,76361.85,0,1,27.0,2.76,24.24
KXBTC15M-26APR201500-00,FULL_STACK,T300,yes,54,76366.91,76204.99,1,1,46.0,3.48,42.52
KXBTC15M-26APR201445-45,FULL_STACK,T300,no,45,76036.72,76151.82,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR201415-15,FULL_STACK,T300,yes,76,76116.39,75944.84,1,1,24.0,2.55,21.45
KXBTC15M-26APR201145-45,FULL_STACK,T300,no,65,75516.20,75680.32,0,1,35.0,3.19,31.81
KXBTC15M-26APR200930-30,FULL_STACK,T300,no,76,75095.48,75273.52,0,1,24.0,2.55,21.45
KXBTC15M-26APR200915-15,FULL_STACK,T300,no,73,75185.65,75320.45,0,1,27.0,2.76,24.24
KXBTC15M-26APR200830-30,FULL_STACK,T300,yes,76,75604.70,75385.56,1,1,24.0,2.55,21.45
