ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR232245-45,no,38,45,17.0,78268.65,78287.09,0.00024,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR232015-15,no,32,44,24.0,78265.13,78278.12,0.00017,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR231030-30,no,36,48,16.0,77513.72,77521.76,0.00010,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR230715-15,no,22,44,34.0,77401.61,77429.64,0.00036,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR230630-30,no,28,45,27.0,77209.42,77233.64,0.00031,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR230600-00,yes,26,52,26.0,77753.93,77748.43,0.00007,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR221930-30,no,40,44,16.0,78571.54,78590.31,0.00024,0,1,60.0,3.36,56.64
KXBTC15M-26APR221715-15,no,28,51,21.0,78454.67,78451.63,0.00004,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR221530-30,no,34,43,23.0,78840.30,78866.63,0.00033,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR220500-00,no,40,42,18.0,77948.78,77975.67,0.00034,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR211845-45,no,43,41,16.0,75367.70,75388.31,0.00027,1,0,-43.0,3.43,-46.43
KXBTC15M-26APR211745-45,no,43,41,16.0,75556.22,75584.93,0.00038,0,1,57.0,3.43,53.57
KXBTC15M-26APR210530-30,no,34,49,17.0,76498.35,76508.42,0.00013,0,1,66.0,3.14,62.86
KXBTC15M-26APR210430-30,no,32,44,24.0,76129.29,76158.99,0.00039,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR210130-30,no,34,43,23.0,75906.23,75922.05,0.00021,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR210100-00,no,28,53,19.0,75699.43,75692.18,0.00010,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR210030-30,no,40,39,21.0,75646.01,75676.02,0.00040,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR201345-45,yes,28,46,18.0,75757.50,75776.11,0.00025,1,1,72.0,2.82,69.18
KXBTC15M-26APR201315-15,no,36,48,16.0,75339.25,75350.85,0.00015,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR200845-45,no,40,42,18.0,75417.79,75447.85,0.00040,0,1,60.0,3.36,56.64
KXBTC15M-26APR191830-30,yes,30,47,17.0,74020.63,74047.31,0.00036,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR191800-00,no,34,46,20.0,74769.26,74779.72,0.00014,0,1,66.0,3.14,62.86
KXBTC15M-26APR191515-15,no,20,46,34.0,74789.58,74803.90,0.00019,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR190445-45,yes,30,65,35.0,75225.28,75204.77,0.00027,1,1,70.0,2.94,67.06
KXBTC15M-26APR190315-15,no,42,38,20.0,75399.50,75428.50,0.00038,0,1,58.0,3.41,54.59
KXBTC15M-26APR190245-45,no,34,40,26.0,75424.90,75447.72,0.00030,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR190215-15,yes,42,60,18.0,75603.69,75585.57,0.00024,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR190200-00,yes,42,61,19.0,75666.02,75641.01,0.00033,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR182330-30,no,36,43,21.0,75535.83,75562.61,0.00035,0,1,64.0,3.23,60.77
KXBTC15M-26APR182300-00,no,38,46,16.0,75677.22,75688.75,0.00015,0,1,62.0,3.30,58.70
KXBTC15M-26APR182230-30,no,34,50,16.0,75649.99,75649.54,0.00001,0,1,66.0,3.14,62.86
KXBTC15M-26APR182045-45,no,44,39,17.0,75625.34,75645.92,0.00027,0,1,56.0,3.45,52.55
KXBTC15M-26APR181930-30,no,44,35,21.0,75843.10,75868.99,0.00034,0,1,56.0,3.45,52.55
KXBTC15M-26APR181845-45,no,38,43,19.0,75731.91,75746.44,0.00019,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR181745-45,no,44,35,21.0,75719.12,75742.25,0.00031,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR181730-30,no,48,34,18.0,75750.72,75775.30,0.00032,0,1,52.0,3.49,48.51
KXBTC15M-26APR180900-00,no,28,42,30.0,76169.99,76197.71,0.00036,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR180830-30,no,38,45,17.0,76212.49,76232.33,0.00026,0,1,62.0,3.30,58.70
KXBTC15M-26APR180630-30,no,26,43,31.0,76285.54,76314.14,0.00037,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR180515-15,yes,29,48,19.0,76754.51,76763.60,0.00012,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR180500-00,no,16,47,37.0,76542.83,76553.78,0.00014,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR180330-30,no,52,31,17.0,77075.59,77101.68,0.00034,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR180315-15,no,48,35,17.0,77118.83,77138.69,0.00026,0,1,52.0,3.49,48.51
KXBTC15M-26APR180300-00,no,46,32,22.0,77148.16,77170.42,0.00029,0,1,54.0,3.48,50.52
KXBTC15M-26APR180200-00,no,48,34,18.0,77159.78,77187.94,0.00036,0,1,52.0,3.49,48.51
KXBTC15M-26APR172230-30,no,16,54,30.0,77298.72,77289.07,0.00012,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR171200-00,no,26,53,21.0,77575.86,77558.51,0.00022,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR170700-00,yes,34,50,16.0,75198.08,75200.45,0.00003,1,1,66.0,3.14,62.86
KXBTC15M-26APR170615-15,yes,34,50,16.0,75805.70,75802.91,0.00004,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR170345-45,no,22,39,39.0,74962.60,74979.54,0.00023,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR170230-30,no,30,43,27.0,74760.30,74779.86,0.00026,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR170200-00,no,37,45,18.0,74652.00,74663.26,0.00015,0,1,63.0,3.26,59.74
KXBTC15M-26APR162345-45,no,32,52,16.0,74732.32,74725.98,0.00008,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR161715-15,no,40,43,17.0,75216.85,75246.04,0.00039,0,1,60.0,3.36,56.64
KXBTC15M-26APR160915-15,yes,38,59,21.0,74665.45,74639.31,0.00035,1,1,62.0,3.30,58.70
KXBTC15M-26APR160615-15,no,42,40,18.0,74596.92,74624.73,0.00037,0,1,58.0,3.41,54.59
KXBTC15M-26APR152330-30,no,32,52,16.0,75006.11,74998.26,0.00010,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR151130-30,no,28,54,18.0,74197.52,74173.30,0.00033,0,1,72.0,2.82,69.18
KXBTC15M-26APR150415-15,yes,32,53,21.0,73776.00,73762.70,0.00018,1,1,68.0,3.05,64.95
KXBTC15M-26APR140845-45,no,26,54,20.0,74329.40,74317.94,0.00015,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR140730-30,no,37,45,18.0,74426.32,74438.54,0.00016,0,1,63.0,3.26,59.74
KXBTC15M-26APR132345-45,no,40,40,20.0,74276.55,74303.91,0.00037,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR130645-45,no,43,40,17.0,70770.50,70785.22,0.00021,0,1,57.0,3.43,53.57
KXBTC15M-26APR130630-30,yes,12,31,19.0,70812.56,70829.59,0.00024,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR130445-45,yes,36,55,19.0,70788.11,70777.70,0.00015,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR130430-30,yes,36,62,26.0,70784.68,70756.74,0.00039,1,1,64.0,3.23,60.77
KXBTC15M-26APR130330-30,no,44,39,17.0,70900.00,70920.81,0.00029,0,1,56.0,3.45,52.55
KXBTC15M-26APR130215-15,no,28,44,28.0,70862.42,70877.38,0.00021,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR122115-15,no,36,48,16.0,71169.68,71177.44,0.00011,0,1,64.0,3.23,60.77
KXBTC15M-26APR121315-15,no,38,46,16.0,70939.93,70948.06,0.00011,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR111900-00,no,38,44,18.0,73346.94,73364.14,0.00023,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR111630-30,yes,30,58,28.0,73574.12,73548.34,0.00035,0,0,-30.0,2.94,-32.94
KXBTC15M-26APR111430-30,no,32,39,29.0,73113.59,73136.09,0.00031,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR111030-30,no,48,30,22.0,72713.99,72739.14,0.00035,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR110830-30,no,14,51,35.0,72928.61,72927.98,0.00001,0,1,86.0,1.69,84.31
KXBTC15M-26APR110815-15,no,36,45,19.0,72925.53,72930.80,0.00007,0,1,64.0,3.23,60.77
KXBTC15M-26APR110730-30,no,52,32,16.0,72880.24,72904.59,0.00033,0,1,48.0,3.49,44.51
KXBTC15M-26APR110330-30,no,32,34,34.0,72770.54,72792.65,0.00030,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR110245-45,no,45,38,17.0,72708.30,72730.58,0.00031,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR110230-30,no,44,37,19.0,72692.37,72716.98,0.00034,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR110130-30,yes,36,63,27.0,72771.75,72749.92,0.00030,1,1,64.0,3.23,60.77
KXBTC15M-26APR102115-15,no,45,37,18.0,72842.09,72869.21,0.00037,0,1,55.0,3.47,51.53
KXBTC15M-26APR100730-30,no,36,48,16.0,72121.52,72124.94,0.00005,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR100645-45,no,40,37,23.0,71724.00,71745.90,0.00031,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR100415-15,no,40,40,20.0,71455.37,71476.27,0.00029,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR100230-30,no,36,45,19.0,72088.38,72100.86,0.00017,0,1,64.0,3.23,60.77
KXBTC15M-26APR091900-00,no,38,45,17.0,72300.00,72328.83,0.00040,0,1,62.0,3.30,58.70
KXBTC15M-26APR090600-00,no,27,57,16.0,71306.96,71282.22,0.00035,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR081745-45,yes,25,52,27.0,71708.19,71703.32,0.00007,0,0,-25.0,2.63,-27.62
KXBTC15M-26APR080200-00,yes,44,62,18.0,71704.86,71677.15,0.00039,1,1,56.0,3.45,52.55
KXBTC15M-26APR072345-45,no,40,44,16.0,71426.05,71442.24,0.00023,0,1,60.0,3.36,56.64
KXBTC15M-26APR071830-30,yes,36,52,16.0,70277.33,70263.96,0.00019,1,1,64.0,3.23,60.77
KXBTC15M-26APR070830-30,yes,42,60,18.0,68292.10,68265.51,0.00039,1,1,58.0,3.41,54.59
KXBTC15M-26APR070745-45,yes,32,50,18.0,68385.50,68384.06,0.00002,1,1,68.0,3.05,64.95
KXBTC15M-26APR070530-30,yes,40,56,16.0,69132.33,69114.32,0.00026,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR070315-15,yes,26,56,30.0,68596.75,68582.09,0.00021,0,0,-26.0,2.69,-28.69
KXBTC15M-26APR061145-45,no,30,51,19.0,69717.56,69709.77,0.00011,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR051715-15,yes,40,57,17.0,67639.11,67622.88,0.00024,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR051630-30,yes,44,63,19.0,67391.89,67366.11,0.00038,1,1,56.0,3.45,52.55
KXBTC15M-26APR051615-15,no,30,43,27.0,67321.52,67335.23,0.00020,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR051545-45,yes,40,59,19.0,67468.04,67450.60,0.00026,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR051300-00,yes,28,61,33.0,67322.18,67298.36,0.00035,0,0,-28.0,2.82,-30.82
KXBTC15M-26APR051130-30,yes,45,66,21.0,66969.99,66944.79,0.00038,1,1,55.0,3.47,51.53
KXBTC15M-26APR051015-15,yes,42,58,16.0,66898.08,66880.99,0.00026,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR050815-15,yes,40,62,22.0,67001.17,66989.95,0.00017,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR050700-00,yes,48,64,16.0,67086.07,67060.50,0.00038,0,0,-48.0,3.49,-51.49
KXBTC15M-26APR050615-15,yes,20,38,18.0,67001.17,67019.69,0.00028,0,0,-20.0,2.24,-22.24
KXBTC15M-26APR050400-00,no,46,38,16.0,66738.27,66759.87,0.00032,1,0,-46.0,3.48,-49.48
KXBTC15M-26APR050345-45,yes,34,55,21.0,66815.28,66804.82,0.00016,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR050300-00,yes,36,54,18.0,66827.28,66816.75,0.00016,1,1,64.0,3.23,60.77
KXBTC15M-26APR050045-45,yes,40,59,19.0,67185.80,67174.54,0.00017,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR050030-30,yes,52,69,17.0,67097.32,67076.53,0.00031,1,1,48.0,3.49,44.51
KXBTC15M-26APR050000-00,yes,42,72,30.0,67149.07,67130.04,0.00028,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR042315-15,yes,46,62,16.0,67178.14,67161.02,0.00025,0,0,-46.0,3.48,-49.48
KXBTC15M-26APR042245-45,no,36,48,16.0,67116.66,67120.17,0.00005,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR042015-15,yes,42,63,21.0,67306.28,67288.92,0.00026,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR041800-00,no,20,56,24.0,67297.86,67292.44,0.00008,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR041500-00,yes,36,69,33.0,67308.50,67290.19,0.00027,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR041445-45,yes,38,62,24.0,67343.58,67335.08,0.00013,0,0,-38.0,3.30,-41.30
KXBTC15M-26APR041345-45,yes,36,52,16.0,67410.49,67405.41,0.00008,0,0,-36.0,3.23,-39.23
KXBTC15M-26APR041245-45,yes,29,51,22.0,67456.46,67454.99,0.00002,1,1,71.0,2.88,68.12
KXBTC15M-26APR040730-30,yes,30,58,28.0,67180.33,67166.18,0.00021,0,0,-30.0,2.94,-32.94
