ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241100-00,no,38,40,22.0,77992.68,78021.94,0.00038,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR240945-45,no,28,51,21.0,78218.61,78216.81,0.00002,0,1,72.0,2.82,69.18
KXBTC15M-26APR240830-30,no,32,47,21.0,78331.60,78335.78,0.00005,0,1,68.0,3.05,64.95
KXBTC15M-26APR240730-30,no,23,51,26.0,78222.33,78219.07,0.00004,1,0,-23.0,2.48,-25.48
KXBTC15M-26APR240530-30,no,45,40,15.0,77492.39,77513.73,0.00028,1,0,-45.0,3.47,-48.47
KXBTC15M-26APR240415-15,no,48,43,9.0,77652.90,77662.91,0.00013,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR240300-00,no,20,44,36.0,77860.69,77871.91,0.00014,0,1,80.0,2.24,77.76
KXBTC15M-26APR240230-30,yes,32,53,21.0,77951.32,77946.06,0.00007,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR232245-45,no,12,55,33.0,78297.16,78287.09,0.00013,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR232145-45,no,26,65,9.0,78121.16,78091.26,0.00038,0,1,74.0,2.69,71.31
KXBTC15M-26APR232045-45,no,12,49,39.0,78429.23,78430.74,0.00002,0,1,88.0,1.48,86.52
KXBTC15M-26APR232030-30,no,19,70,11.0,78345.66,78315.19,0.00039,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR231930-30,no,20,58,22.0,78135.57,78124.20,0.00015,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR231845-45,no,18,53,29.0,78236.94,78231.64,0.00007,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR231215-15,no,42,46,12.0,78400.68,78416.97,0.00021,0,1,58.0,3.41,54.59
KXBTC15M-26APR230845-45,no,22,66,12.0,77791.27,77769.72,0.00028,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR230745-45,no,18,66,16.0,77519.49,77492.26,0.00035,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR230715-15,no,24,62,14.0,77455.19,77429.64,0.00033,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR230645-45,no,20,60,20.0,77433.59,77405.66,0.00036,0,1,80.0,2.24,77.76
KXBTC15M-26APR230530-30,yes,24,62,38.0,77617.02,77591.51,0.00033,1,1,76.0,2.55,73.45
KXBTC15M-26APR230130-30,yes,9,34,25.0,77990.35,78016.95,0.00034,0,0,-9.0,1.15,-10.15
KXBTC15M-26APR230100-00,no,32,44,24.0,77901.36,77913.21,0.00015,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR222100-00,yes,31,49,18.0,78421.83,78428.84,0.00009,0,0,-31.0,2.99,-33.99
KXBTC15M-26APR222000-00,yes,12,50,38.0,78292.72,78292.55,0.00000,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR221900-00,no,22,51,27.0,78551.79,78549.37,0.00003,1,0,-22.0,2.40,-24.40
KXBTC15M-26APR221800-00,no,36,51,13.0,78766.67,78766.01,0.00001,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR221415-15,no,38,47,15.0,78920.03,78926.23,0.00008,1,0,-38.0,3.30,-41.30
