ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR241145-45,yes,6,34,28.0,77820.78,77849.41,0.00037,1,1,94.0,0.79,93.21
KXBTC15M-26APR241100-00,no,14,41,45.0,78002.90,78021.94,0.00024,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR240945-45,yes,40,51,11.0,78218.61,78216.81,0.00002,0,0,-40.0,3.36,-43.36
KXBTC15M-26APR240815-15,no,20,34,46.0,78245.88,78269.28,0.00030,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR240730-30,no,12,64,24.0,78248.27,78219.07,0.00037,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR240415-15,no,44,25,31.0,77632.46,77662.91,0.00039,1,0,-44.0,3.45,-47.45
KXBTC15M-26APR240315-15,no,12,68,20.0,77842.77,77822.80,0.00026,0,1,88.0,1.48,86.52
KXBTC15M-26APR240300-00,no,44,40,16.0,77860.69,77871.91,0.00014,0,1,56.0,3.45,52.55
KXBTC15M-26APR240130-30,no,16,46,38.0,77584.70,77592.22,0.00010,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR240030-30,no,22,66,12.0,77779.69,77758.39,0.00027,0,1,78.0,2.40,75.60
KXBTC15M-26APR232145-45,no,5,68,27.0,78120.01,78091.26,0.00037,0,1,95.0,0.67,94.33
KXBTC15M-26APR231215-15,yes,34,52,18.0,78421.43,78416.97,0.00006,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR231015-15,no,43,41,16.0,77536.18,77551.80,0.00020,0,1,57.0,3.43,53.57
KXBTC15M-26APR230930-30,yes,16,36,20.0,77712.57,77736.12,0.00030,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR230815-15,no,9,70,21.0,77748.53,77728.27,0.00026,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR230645-45,yes,42,51,9.0,77407.78,77405.66,0.00003,0,0,-42.0,3.41,-45.41
KXBTC15M-26APR230530-30,yes,46,68,22.0,77617.02,77591.51,0.00033,1,1,54.0,3.48,50.52
KXBTC15M-26APR230100-00,no,21,59,20.0,77926.79,77913.21,0.00017,1,0,-21.0,2.32,-23.32
KXBTC15M-26APR222300-00,no,12,59,29.0,77932.63,77910.46,0.00028,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR222100-00,no,48,43,9.0,78399.89,78428.84,0.00037,0,1,52.0,3.49,48.51
KXBTC15M-26APR222045-45,no,18,52,30.0,78433.04,78426.09,0.00009,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR222000-00,yes,12,50,38.0,78292.72,78292.55,0.00000,0,0,-12.0,1.48,-13.48
KXBTC15M-26APR221900-00,no,19,58,23.0,78560.69,78549.37,0.00014,1,0,-19.0,2.15,-21.15
KXBTC15M-26APR221730-30,no,40,35,25.0,78581.55,78596.42,0.00019,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR220930-30,no,9,63,28.0,78416.06,78388.79,0.00035,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR220845-45,no,21,43,36.0,78217.45,78228.82,0.00015,1,0,-21.0,2.32,-23.32
KXBTC15M-26APR220615-15,no,34,54,12.0,78041.36,78036.28,0.00007,1,0,-34.0,3.14,-37.14
KXBTC15M-26APR220530-30,no,10,65,25.0,78080.58,78061.33,0.00025,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR220515-15,no,52,30,18.0,78036.66,78065.33,0.00037,0,1,48.0,3.49,44.51
KXBTC15M-26APR220400-00,yes,34,56,22.0,78071.30,78061.52,0.00013,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR220315-15,no,26,51,23.0,78012.15,78011.43,0.00001,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR220245-45,no,32,40,28.0,77936.59,77955.06,0.00024,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR220230-30,yes,38,60,22.0,78040.66,78012.73,0.00036,0,0,-38.0,3.30,-41.30
KXBTC15M-26APR220030-30,yes,15,37,22.0,77506.66,77528.59,0.00028,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR220000-00,yes,29,50,21.0,77583.95,77584.76,0.00001,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR212330-30,yes,29,46,17.0,77601.41,77611.40,0.00013,0,0,-29.0,2.88,-31.88
KXBTC15M-26APR212245-45,yes,34,55,21.0,77240.16,77223.94,0.00021,1,1,66.0,3.14,62.86
KXBTC15M-26APR212200-00,no,9,54,37.0,76272.67,76266.46,0.00008,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR212045-45,no,30,53,17.0,76310.82,76305.32,0.00007,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR212015-15,no,20,54,26.0,76358.59,76351.47,0.00009,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR211845-45,no,28,32,40.0,75365.97,75388.31,0.00030,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR211745-45,no,16,31,53.0,75557.37,75584.93,0.00036,0,1,84.0,1.88,82.12
KXBTC15M-26APR211730-30,no,12,51,37.0,75600.99,75599.79,0.00002,0,1,88.0,1.48,86.52
KXBTC15M-26APR211700-00,no,12,59,29.0,75717.43,75690.92,0.00035,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR211645-45,no,36,50,14.0,75671.83,75672.31,0.00001,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR211415-15,no,38,52,10.0,75567.57,75561.72,0.00008,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR211200-00,no,36,36,28.0,75721.17,75751.10,0.00040,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR211145-45,no,40,49,11.0,75670.22,75672.38,0.00003,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR210830-30,no,8,48,44.0,76326.31,76328.79,0.00003,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR210545-45,no,8,58,34.0,76310.43,76282.93,0.00036,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR210415-15,no,38,38,24.0,76104.39,76133.25,0.00038,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR210300-00,yes,34,43,9.0,76022.38,76034.37,0.00016,0,0,-34.0,3.14,-37.14
KXBTC15M-26APR210045-45,no,9,72,19.0,75710.64,75688.18,0.00030,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR202230-30,no,42,35,23.0,75735.27,75759.49,0.00032,1,0,-42.0,3.41,-45.41
KXBTC15M-26APR202115-15,no,9,57,34.0,76128.93,76116.95,0.00016,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR202045-45,no,11,63,26.0,75929.14,75907.05,0.00029,1,0,-11.0,1.37,-12.37
KXBTC15M-26APR201700-00,no,12,53,35.0,76294.13,76288.29,0.00008,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR201615-15,no,9,60,31.0,76330.97,76314.38,0.00022,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR201545-45,no,16,54,30.0,76245.65,76238.51,0.00009,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR201515-15,no,26,38,36.0,76424.78,76450.17,0.00033,0,1,74.0,2.69,71.31
KXBTC15M-26APR201200-00,no,30,52,18.0,75632.26,75627.28,0.00007,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR201000-00,no,50,41,9.0,75230.50,75256.47,0.00035,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR200945-45,no,16,48,36.0,75179.93,75184.17,0.00006,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR200730-30,no,16,44,40.0,75179.86,75191.21,0.00015,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR200630-30,yes,16,67,51.0,75401.45,75375.23,0.00035,0,0,-16.0,1.88,-17.88
KXBTC15M-26APR200530-30,no,24,46,30.0,75060.11,75068.39,0.00011,0,1,76.0,2.55,73.45
KXBTC15M-26APR200315-15,yes,42,52,10.0,74820.29,74817.47,0.00004,1,1,58.0,3.41,54.59
KXBTC15M-26APR200215-15,no,28,56,16.0,74311.18,74301.93,0.00012,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR192345-45,no,24,26,50.0,74522.69,74549.66,0.00036,1,0,-24.0,2.55,-26.55
KXBTC15M-26APR192330-30,no,16,75,9.0,74540.16,74511.32,0.00039,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR192315-15,yes,44,58,14.0,74464.09,74452.24,0.00016,1,1,56.0,3.45,52.55
KXBTC15M-26APR192245-45,no,38,53,9.0,74496.86,74490.95,0.00008,1,0,-38.0,3.30,-41.30
KXBTC15M-26APR192230-30,no,16,42,42.0,74388.60,74407.63,0.00026,1,0,-16.0,1.88,-17.88
KXBTC15M-26APR192000-00,yes,15,47,32.0,73911.83,73918.56,0.00009,0,0,-15.0,1.79,-16.79
KXBTC15M-26APR191630-30,yes,7,52,45.0,74815.24,74813.53,0.00002,0,0,-7.0,0.91,-7.91
KXBTC15M-26APR191545-45,no,8,58,34.0,75008.72,74997.11,0.00015,1,0,-8.0,1.03,-9.03
KXBTC15M-26APR191530-30,yes,31,57,26.0,75004.32,74994.71,0.00013,1,1,69.0,2.99,66.01
KXBTC15M-26APR191330-30,no,50,41,9.0,75256.73,75275.98,0.00026,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR191245-45,yes,22,61,39.0,75625.79,75608.21,0.00023,0,0,-22.0,2.40,-24.40
KXBTC15M-26APR191045-45,yes,42,52,10.0,76005.76,76001.65,0.00005,1,1,58.0,3.41,54.59
KXBTC15M-26APR190815-15,no,36,37,27.0,75609.89,75635.84,0.00034,1,0,-36.0,3.23,-39.23
KXBTC15M-26APR190645-45,yes,9,41,32.0,75110.17,75121.60,0.00015,1,1,91.0,1.15,89.85
KXBTC15M-26APR190500-00,no,16,45,39.0,75274.42,75276.47,0.00003,0,1,84.0,1.88,82.12
KXBTC15M-26APR190130-30,no,48,30,22.0,75562.33,75591.42,0.00038,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR181830-30,no,6,67,27.0,75712.49,75697.07,0.00020,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR181615-15,no,18,50,32.0,75696.02,75695.91,0.00000,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR181500-00,yes,44,63,19.0,75623.32,75597.07,0.00035,1,1,56.0,3.45,52.55
KXBTC15M-26APR181345-45,no,32,41,27.0,75900.66,75908.53,0.00010,1,0,-32.0,3.05,-35.05
KXBTC15M-26APR181330-30,no,30,61,9.0,75871.12,75861.99,0.00012,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR181215-15,no,30,59,11.0,76208.19,76193.98,0.00019,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR181200-00,no,25,66,9.0,76196.72,76171.35,0.00033,1,0,-25.0,2.63,-27.62
KXBTC15M-26APR181100-00,no,30,27,43.0,76228.90,76258.18,0.00038,1,0,-30.0,2.94,-32.94
KXBTC15M-26APR181015-15,no,28,48,24.0,76154.70,76158.73,0.00005,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR180830-30,yes,24,39,15.0,76210.96,76232.33,0.00028,0,0,-24.0,2.55,-26.55
KXBTC15M-26APR180415-15,yes,7,21,14.0,76990.22,77018.78,0.00037,0,0,-7.0,0.91,-7.91
KXBTC15M-26APR180245-45,no,27,32,41.0,77121.05,77131.18,0.00013,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR172245-45,no,9,71,20.0,77381.47,77354.57,0.00035,0,1,91.0,1.15,89.85
KXBTC15M-26APR172215-15,no,20,52,28.0,77251.53,77248.60,0.00004,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR172015-15,no,39,33,28.0,77118.81,77147.86,0.00038,0,1,61.0,3.33,57.67
KXBTC15M-26APR171845-45,no,17,28,55.0,77414.29,77441.17,0.00035,1,0,-17.0,1.98,-18.98
KXBTC15M-26APR171815-15,no,18,57,25.0,77508.88,77500.36,0.00011,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR171800-00,no,10,68,22.0,77443.97,77420.98,0.00030,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR171715-15,no,28,45,27.0,77383.32,77391.80,0.00011,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR171700-00,no,6,58,36.0,77321.14,77306.97,0.00018,1,0,-6.0,0.79,-6.79
KXBTC15M-26APR171600-00,no,28,52,20.0,77395.30,77390.66,0.00006,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR170830-30,yes,36,58,22.0,75717.98,75705.97,0.00016,1,1,64.0,3.23,60.77
KXBTC15M-26APR170600-00,no,7,57,36.0,75775.61,75749.60,0.00034,1,0,-7.0,0.91,-7.91
KXBTC15M-26APR170515-15,no,18,47,35.0,75752.80,75759.37,0.00009,1,0,-18.0,2.07,-20.07
KXBTC15M-26APR170245-45,no,27,46,27.0,74816.78,74821.21,0.00006,1,0,-27.0,2.76,-29.76
KXBTC15M-26APR170230-30,no,28,50,22.0,74779.70,74779.86,0.00000,1,0,-28.0,2.82,-30.82
KXBTC15M-26APR170200-00,no,30,52,18.0,74665.41,74663.26,0.00003,0,1,70.0,2.94,67.06
KXBTC15M-26APR170015-15,no,12,77,11.0,74670.48,74643.43,0.00036,1,0,-12.0,1.48,-13.48
KXBTC15M-26APR162330-30,no,9,50,41.0,74710.40,74710.18,0.00000,1,0,-9.0,1.15,-10.15
KXBTC15M-26APR162300-00,no,10,62,28.0,74706.54,74689.29,0.00023,1,0,-10.0,1.26,-11.26
KXBTC15M-26APR162145-45,yes,6,59,53.0,74782.81,74768.68,0.00019,0,0,-6.0,0.79,-6.79
KXBTC15M-26APR162045-45,no,20,65,15.0,75028.10,75006.51,0.00029,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR161845-45,no,34,38,28.0,74923.19,74942.58,0.00026,0,1,66.0,3.14,62.86
KXBTC15M-26APR161715-15,no,16,64,20.0,75273.93,75246.04,0.00037,0,1,84.0,1.88,82.12
KXBTC15M-26APR161615-15,no,20,63,17.0,75428.03,75403.04,0.00033,1,0,-20.0,2.24,-22.24
KXBTC15M-26APR160715-15,no,14,51,35.0,74323.89,74323.22,0.00001,1,0,-14.0,1.69,-15.69
KXBTC15M-26APR160700-00,yes,32,42,10.0,74397.27,74407.12,0.00013,0,0,-32.0,3.05,-35.05
KXBTC15M-26APR160145-45,no,43,36,21.0,75054.31,75077.96,0.00032,0,1,57.0,3.43,53.57
KXBTC15M-26APR152315-15,no,26,59,15.0,74971.50,74953.06,0.00025,1,0,-26.0,2.69,-28.69
KXBTC15M-26APR152145-45,no,40,45,15.0,74620.94,74629.30,0.00011,1,0,-40.0,3.36,-43.36
KXBTC15M-26APR151530-30,no,48,39,13.0,74663.54,74680.15,0.00022,1,0,-48.0,3.49,-51.49
KXBTC15M-26APR150915-15,no,44,45,11.0,74314.57,74321.18,0.00009,1,0,-44.0,3.45,-47.45
