ticker,side,entry_c,fair_yes_c,edge_pp,btc,strike,dist_pct,settle_yes,won,gross_c,fee_c,net_c
KXBTC15M-26APR220630-30,no,52,40,8.0,78020.61,78047.13,0.00034,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR220330-30,yes,52,60,8.0,78119.80,78098.66,0.00027,0,0,-52.0,3.49,-55.49
KXBTC15M-26APR211945-45,yes,50,59,9.0,75836.89,75807.64,0.00039,1,1,50.0,3.50,46.50
KXBTC15M-26APR210045-45,no,52,40,8.0,75663.37,75688.18,0.00033,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR201900-00,no,50,42,8.0,75976.33,76006.07,0.00039,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR181400-00,no,50,35,15.0,75890.61,75919.56,0.00038,0,1,50.0,3.50,46.50
KXBTC15M-26APR180330-30,no,52,31,17.0,77075.59,77101.68,0.00034,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR170045-45,no,50,40,10.0,74757.28,74776.09,0.00025,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR160015-15,no,50,40,10.0,74867.81,74895.79,0.00037,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR120200-00,no,50,39,11.0,71660.74,71683.00,0.00031,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR111700-00,no,50,41,9.0,73349.71,73373.20,0.00032,0,1,50.0,3.50,46.50
KXBTC15M-26APR110730-30,no,52,32,16.0,72880.24,72904.59,0.00033,0,1,48.0,3.49,44.51
KXBTC15M-26APR100715-15,no,52,36,12.0,71907.93,71924.08,0.00022,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR100100-00,no,52,36,12.0,71890.52,71913.76,0.00032,1,0,-52.0,3.49,-55.49
KXBTC15M-26APR080300-00,no,50,42,8.0,71776.79,71805.46,0.00040,0,1,50.0,3.50,46.50
KXBTC15M-26APR072330-30,yes,50,58,8.0,71345.78,71319.72,0.00037,1,1,50.0,3.50,46.50
KXBTC15M-26APR060815-15,yes,50,58,8.0,69636.60,69611.67,0.00036,0,0,-50.0,3.50,-53.50
KXBTC15M-26APR051645-45,yes,50,63,13.0,67486.81,67460.00,0.00040,1,1,50.0,3.50,46.50
KXBTC15M-26APR050130-30,yes,52,61,9.0,67122.82,67107.30,0.00023,0,0,-52.0,3.49,-55.49
KXBTC15M-26APR050100-00,yes,50,63,13.0,67137.76,67120.02,0.00026,0,0,-50.0,3.50,-53.50
KXBTC15M-26APR050030-30,yes,52,69,17.0,67097.32,67076.53,0.00031,1,1,48.0,3.49,44.51
KXBTC15M-26APR041745-45,no,50,38,12.0,67261.49,67274.06,0.00019,1,0,-50.0,3.50,-53.50
KXBTC15M-26APR041400-00,yes,52,63,11.0,67349.83,67324.92,0.00037,1,1,48.0,3.49,44.51
KXBTC15M-26APR040530-30,yes,51,69,18.0,66990.35,66980.39,0.00015,0,0,-51.0,3.50,-54.50
KXBTC15M-26APR040430-30,yes,50,60,10.0,67012.67,66999.43,0.00020,1,1,50.0,3.50,46.50
KXBTC15M-26APR040130-30,no,50,42,8.0,66860.06,66872.82,0.00019,0,1,50.0,3.50,46.50
KXBTC15M-26APR031800-00,yes,50,62,12.0,66953.26,66938.68,0.00022,1,1,50.0,3.50,46.50
KXBTC15M-26APR031745-45,yes,55,63,8.0,66919.16,66903.96,0.00023,1,1,45.0,3.46,41.53
KXBTC15M-26APR031715-15,yes,53,73,20.0,66859.16,66833.62,0.00038,1,1,47.0,3.49,43.51
KXBTC15M-26APR031615-15,yes,50,59,9.0,66888.97,66869.20,0.00030,1,1,50.0,3.50,46.50
KXBTC15M-26APR022000-00,no,54,38,8.0,66865.61,66891.89,0.00039,1,0,-54.0,3.48,-57.48
KXBTC15M-26APR011745-45,yes,50,58,8.0,68463.62,68442.04,0.00032,0,0,-50.0,3.50,-53.50
KXBTC15M-26MAR290330-30,yes,50,58,8.0,66576.52,66552.67,0.00036,1,1,50.0,3.50,46.50
KXBTC15M-26MAR281545-45,yes,55,63,8.0,66838.03,66814.36,0.00035,0,0,-55.0,3.46,-58.47
KXBTC15M-26MAR280715-15,yes,50,69,19.0,66205.30,66179.30,0.00039,1,1,50.0,3.50,46.50
KXBTC15M-26MAR270345-45,yes,50,58,8.0,68910.64,68887.38,0.00034,0,0,-50.0,3.50,-53.50
KXBTC15M-26MAR260000-00,yes,52,60,8.0,70869.53,70845.19,0.00034,1,1,48.0,3.49,44.51
KXBTC15M-26MAR252215-15,yes,50,62,12.0,71278.98,71254.53,0.00034,0,0,-50.0,3.50,-53.50
