ticker,side,entry_c,fair_for_side,spread_c,baseline_c,mfe_c,mae_c,mfe_at_s,mae_at_s,final_bid_c,settled_yes,btc_dist_pct,closed_full,closed_half,closed_min,directional
KXBTC15M-26APR241200-00,no,15,35,10,85,24,0,0,600,0,1,0.0888,0,1,1,1
KXBTC15M-26APR241145-45,no,50,58,7,50,94,34,540,60,91,1,0.0355,1,1,1,1
KXBTC15M-26APR241130-30,no,48,57,7,52,57,0,60,600,0,1,0.0311,1,1,1,1
KXBTC15M-26APR241115-15,yes,20,35,15,25,28,0,60,480,0,0,0.0788,0,1,1,1
KXBTC15M-26APR241100-00,no,36,56,20,55,76,6,120,720,6,1,0.0375,1,1,1,1
KXBTC15M-26APR241045-45,no,33,45,12,61,33,0,0,660,0,1,0.0324,0,0,0,0
KXBTC15M-26APR241030-30,no,30,54,24,62,100,29,480,0,100,0,0.0231,1,1,1,1
KXBTC15M-26APR241015-15,yes,26,37,9,26,28,0,0,720,0,0,0.0795,0,0,0,1
KXBTC15M-26APR241000-00,no,40,57,17,54,99,39,600,0,98,0,0.0395,1,1,1,1
KXBTC15M-26APR240945-45,no,58,70,12,38,87,28,600,360,87,0,0.1180,1,1,1,1
KXBTC15M-26APR240900-00,no,39,89,8,61,98,39,300,0,74,1,0.1413,1,1,1,1
KXBTC15M-26APR240845-45,no,51,69,17,49,98,31,720,660,98,0,0.0662,1,1,1,1
KXBTC15M-26APR240830-30,no,44,61,17,48,99,32,720,480,99,0,0.0433,1,1,1,1
KXBTC15M-26APR240815-15,yes,50,58,6,50,99,26,720,420,99,1,0.0391,1,1,1,1
KXBTC15M-26APR240800-00,yes,20,37,17,23,32,0,120,720,0,0,0.0715,0,1,1,1
KXBTC15M-26APR240745-45,no,48,71,6,52,64,36,0,360,36,0,0.0859,0,1,1,1
KXBTC15M-26APR240730-30,no,55,73,7,45,79,0,0,480,0,1,0.1000,1,1,1,1
KXBTC15M-26APR240700-00,yes,48,64,3,48,100,48,660,0,100,1,0.0432,1,1,1,1
KXBTC15M-26APR240645-45,no,46,64,18,44,94,45,420,0,94,0,0.0418,1,1,1,1
KXBTC15M-26APR240630-30,no,30,63,33,65,30,0,0,540,0,1,0.0471,0,0,0,0
KXBTC15M-26APR240615-15,yes,24,43,19,28,47,4,120,660,12,0,0.0329,1,1,1,1
KXBTC15M-26APR240600-00,yes,39,46,7,40,59,1,480,720,1,0,0.0203,1,1,1,1
KXBTC15M-26APR240545-45,no,41,76,35,58,72,0,120,720,0,1,0.1290,0,1,1,1
KXBTC15M-26APR240530-30,no,18,43,25,81,61,5,420,720,5,1,0.0299,1,1,1,1
KXBTC15M-26APR240500-00,no,32,47,15,63,32,0,0,660,0,1,0.0136,0,0,0,0
KXBTC15M-26APR240445-45,no,64,80,10,36,100,64,300,0,100,0,0.0996,1,1,1,1
KXBTC15M-26APR240415-15,no,59,65,3,41,78,0,300,720,0,1,0.0474,1,1,1,1
KXBTC15M-26APR240400-00,no,24,65,41,66,99,9,660,240,97,0,0.0444,1,1,1,1
KXBTC15M-26APR240345-45,no,50,96,20,50,98,50,240,0,98,0,0.1098,1,1,1,1
KXBTC15M-26APR240330-30,no,52,73,15,48,100,52,720,0,100,0,0.0738,1,1,1,1
KXBTC15M-26APR240315-15,no,50,64,11,50,90,11,720,600,90,0,0.0436,1,1,1,1
KXBTC15M-26APR240300-00,no,65,73,4,35,99,17,720,540,99,0,0.0986,1,1,1,1
KXBTC15M-26APR240245-45,yes,32,80,48,35,97,24,660,120,95,1,0.1097,1,1,1,1
KXBTC15M-26APR240230-30,no,38,54,16,59,99,25,660,180,99,0,0.0153,1,1,1,1
KXBTC15M-26APR240215-15,yes,38,59,21,43,41,0,120,720,0,0,0.0376,0,0,0,1
KXBTC15M-26APR240200-00,no,49,72,22,51,49,0,0,600,0,1,0.0797,0,0,0,0
KXBTC15M-26APR240145-45,no,23,33,10,77,23,0,0,660,0,1,0.0765,0,0,0,0
KXBTC15M-26APR240130-30,no,56,66,7,44,79,0,180,540,0,1,0.0657,1,1,1,1
KXBTC15M-26APR240115-15,no,49,56,4,51,100,46,720,120,100,0,0.0287,1,1,1,1
KXBTC15M-26APR240100-00,no,30,60,30,55,30,0,0,660,0,1,0.0417,0,0,0,0
KXBTC15M-26APR240045-45,no,43,73,30,55,85,42,540,0,83,0,0.0909,1,1,1,1
KXBTC15M-26APR240030-30,no,62,73,3,38,100,4,720,480,100,0,0.1073,1,1,1,1
KXBTC15M-26APR240015-15,no,66,79,4,34,96,58,240,360,58,0,0.1099,1,1,1,1
KXBTC15M-26APR240000-00,yes,56,70,22,56,100,56,420,0,100,1,0.0804,1,1,1,1
KXBTC15M-26APR232315-15,no,45,63,13,55,75,21,540,660,21,1,0.0646,1,1,1,1
KXBTC15M-26APR232300-00,no,48,71,10,52,100,48,480,0,100,0,0.0870,1,1,1,1
KXBTC15M-26APR232245-45,no,43,55,7,57,47,0,0,660,0,1,0.0236,0,1,0,1
KXBTC15M-26APR232230-30,no,64,73,3,36,100,64,480,0,100,0,0.1034,1,1,1,1
KXBTC15M-26APR232215-15,no,33,48,15,57,99,18,660,120,97,0,0.0113,1,1,1,1
KXBTC15M-26APR232200-00,yes,63,77,4,63,100,63,540,0,100,1,0.1212,1,1,1,1
KXBTC15M-26APR232145-45,yes,36,65,9,36,95,11,60,240,11,0,0.0383,1,1,1,1
KXBTC15M-26APR232130-30,no,64,77,8,36,99,64,660,0,99,0,0.1242,1,1,1,1
KXBTC15M-26APR232100-00,no,25,36,11,71,93,17,600,180,87,0,0.0511,1,1,1,1
KXBTC15M-26APR232045-45,no,38,62,18,62,87,11,540,360,76,0,0.0383,1,1,1,1
KXBTC15M-26APR232030-30,no,49,70,17,51,52,0,0,660,0,1,0.0506,0,0,0,1
KXBTC15M-26APR232015-15,no,34,57,15,66,84,1,120,660,1,1,0.0175,1,1,1,1
KXBTC15M-26APR232000-00,no,46,58,12,49,79,24,720,60,79,1,0.0221,1,1,1,1
KXBTC15M-26APR231945-45,no,36,62,15,64,46,0,0,480,0,1,0.0312,0,1,1,1
KXBTC15M-26APR231930-30,no,67,73,4,33,76,0,0,720,0,1,0.0697,1,1,1,1
KXBTC15M-26APR231915-15,no,47,59,12,53,100,46,660,0,100,0,0.0288,1,1,1,1
KXBTC15M-26APR231900-00,no,42,64,20,58,99,41,720,120,99,0,0.0465,1,1,1,1
KXBTC15M-26APR231845-45,no,44,73,29,50,44,0,0,720,0,1,0.0733,0,0,0,0
KXBTC15M-26APR231830-30,yes,46,83,29,46,100,46,660,0,100,1,0.1162,1,1,1,1
KXBTC15M-26APR231815-15,yes,68,78,10,68,100,68,540,0,100,1,0.0851,1,1,1,1
KXBTC15M-26APR231800-00,no,58,65,4,42,100,57,660,60,100,0,0.0466,1,1,1,1
KXBTC15M-26APR231745-45,no,18,30,12,78,18,0,0,660,0,1,0.0751,0,0,0,0
KXBTC15M-26APR231730-30,no,53,66,2,47,94,53,240,0,70,1,0.0583,1,1,1,1
KXBTC15M-26APR231700-00,no,49,76,9,51,100,49,420,0,100,0,0.0951,1,1,1,1
KXBTC15M-26APR231645-45,no,39,53,14,56,39,0,0,480,0,1,0.0165,0,0,0,0
KXBTC15M-26APR231630-30,no,70,94,5,30,100,70,60,0,100,0,0.1290,1,1,1,1
KXBTC15M-26APR231615-15,yes,41,58,2,41,100,41,720,0,100,1,0.0423,1,1,1,1
KXBTC15M-26APR231600-00,yes,56,77,5,56,100,56,600,0,100,1,0.1366,1,1,1,1
KXBTC15M-26APR231545-45,no,52,57,3,48,100,52,660,0,100,0,0.0352,1,1,1,1
KXBTC15M-26APR231530-30,yes,63,76,1,63,100,63,720,0,100,1,0.1455,1,1,1,1
KXBTC15M-26APR231515-15,no,64,72,4,36,92,42,540,240,87,0,0.1261,1,1,1,1
KXBTC15M-26APR231445-45,no,28,43,15,72,33,0,60,720,0,1,0.0703,0,0,0,1
KXBTC15M-26APR231430-30,yes,49,54,4,49,50,0,0,720,0,0,0.0390,0,0,0,1
KXBTC15M-26APR231415-15,no,34,43,9,66,43,0,180,660,0,1,0.0668,1,1,1,1
KXBTC15M-26APR231400-00,yes,27,42,15,36,100,27,540,0,100,1,0.0639,1,1,1,1
