ticker,entry_ts,side,entry_c,fair_for_side,spread_c,baseline_c,btc_dist_signed_pct,btc_dist_abs_pct,session_age_s,btc_5m_move,btc_15m_move,aligned_with_btc5m,hour_utc,exit_reason,exit_c,fill_at_s,net_c
KXBTC15M-26APR241200-00,1777045740,no,15,35,11,85,0.0888,0.0888,240,-69.67,101.25,1,15,SL,6,240,-10.45
KXBTC15M-26APR241145-45,1777044780,no,49,58,8,51,-0.0355,0.0355,180,-8.93,64.87,1,15,SL,33,60,-19.92
KXBTC15M-26APR241130-30,1777043940,no,48,57,7,52,-0.0311,0.0311,240,-15.25,-269.00,1,15,SL,20,240,-31.32
KXBTC15M-26APR241115-15,1777042920,yes,20,35,15,25,-0.0788,0.0788,120,-10.22,0.00,0,15,SL,7,180,-14.76
KXBTC15M-26APR241100-00,1777042020,no,36,56,20,56,-0.0375,0.0375,120,40.38,239.16,0,14,TP,66,120,26.82
KXBTC15M-26APR241045-45,1777041120,no,32,45,13,62,0.0324,0.0324,120,-24.59,-228.19,1,14,SL,13,180,-21.63
KXBTC15M-26APR241030-30,1777040460,no,30,54,24,63,-0.0231,0.0231,360,-81.33,71.47,1,14,TP,60,300,26.85
KXBTC15M-26APR241015-15,1777039320,yes,26,37,8,26,-0.0795,0.0795,120,124.89,-118.47,1,14,SL,9,60,-19.15
KXBTC15M-26APR241000-00,1777038420,no,40,57,17,55,-0.0395,0.0395,120,-48.83,111.78,1,13,TP,70,240,26.85
KXBTC15M-26APR240945-45,1777037640,no,58,70,12,39,-0.1180,0.1180,240,-54.51,-230.49,1,13,SL,36,60,-25.96
KXBTC15M-26APR240900-00,1777035060,no,38,89,8,62,-0.1413,0.1413,360,-59.48,-127.64,1,12,TP,68,0,26.83
KXBTC15M-26APR240845-45,1777033920,no,50,69,17,50,-0.0662,0.0662,120,-36.53,-59.19,1,12,TP,80,360,27.13
KXBTC15M-26APR240830-30,1777033020,no,44,61,17,49,-0.0433,0.0433,120,55.97,1.94,0,12,TP,74,360,26.93
KXBTC15M-26APR240815-15,1777032120,yes,50,58,6,50,0.0391,0.0391,120,71.90,28.12,1,12,SL,40,180,-14.10
KXBTC15M-26APR240800-00,1777031220,yes,20,37,17,23,-0.0715,0.0715,120,0.00,-57.24,0,11,SL,7,360,-14.76
KXBTC15M-26APR240745-45,1777030680,no,47,71,7,53,-0.0859,0.0859,480,-81.00,120.56,1,11,SL,35,360,-15.97
KXBTC15M-26APR240730-30,1777029420,no,54,59,3,46,-0.0458,0.0458,120,-7.67,259.08,1,11,SL,31,360,-26.84
KXBTC15M-26APR240700-00,1777027620,yes,49,64,2,49,0.0432,0.0432,120,66.01,8.47,1,10,TP,79,480,27.09
KXBTC15M-26APR240645-45,1777026960,no,45,64,19,44,-0.0418,0.0418,360,-32.78,90.84,1,10,TP,75,240,26.95
KXBTC15M-26APR240630-30,1777025820,no,30,63,33,65,-0.0471,0.0471,120,5.03,-24.44,0,10,SL,19,240,-13.98
