ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR240945-45,no,29,TP_FILL,37,8.0,3.07,4.93,0
KXBTC15M-26APR240830-30,no,33,TP_FILL,41,8.0,3.24,4.76,0
KXBTC15M-26APR240730-30,no,24,TP_FILL,32,8.0,2.80,5.20,1
KXBTC15M-26APR240300-00,no,20,TP_FILL,28,8.0,2.53,5.47,0
KXBTC15M-26APR240230-30,yes,32,PRE_EXPIRY,1,-31.0,1.62,-32.62,0
KXBTC15M-26APR240030-30,no,4,TP_FILL,12,8.0,1.01,6.99,0
KXBTC15M-26APR232245-45,no,12,PRE_EXPIRY,1,-11.0,0.84,-11.84,1
KXBTC15M-26APR232045-45,no,12,TP_FILL,20,8.0,1.86,6.14,0
KXBTC15M-26APR231930-30,no,21,TP_FILL,29,8.0,2.60,5.40,1
KXBTC15M-26APR231845-45,no,19,PRE_EXPIRY,1,-18.0,1.17,-19.17,1
KXBTC15M-26APR230845-45,no,23,PRE_EXPIRY,1,-22.0,1.34,-23.34,1
KXBTC15M-26APR230100-00,no,33,PRE_EXPIRY,1,-32.0,1.64,-33.64,1
KXBTC15M-26APR222100-00,yes,32,TP_FILL,40,8.0,3.20,4.80,0
KXBTC15M-26APR222000-00,yes,13,TP_FILL,21,8.0,1.95,6.05,0
KXBTC15M-26APR221900-00,no,22,TP_FILL,30,8.0,2.67,5.33,1
KXBTC15M-26APR221115-15,yes,16,TP_FILL,24,8.0,2.22,5.78,0
KXBTC15M-26APR221030-30,no,27,PRE_EXPIRY,5,-22.0,1.85,-23.85,1
KXBTC15M-26APR220900-00,no,25,PRE_EXPIRY,1,-24.0,1.41,-25.41,1
KXBTC15M-26APR220345-45,no,20,PRE_EXPIRY,1,-19.0,1.22,-20.22,1
KXBTC15M-26APR220300-00,no,19,TP_FILL,27,8.0,2.46,5.54,1
KXBTC15M-26APR220015-15,no,34,TP_FILL,42,8.0,3.28,4.72,0
