ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR240945-45,no,29,TP_FILL,37,8.0,3.07,4.93,0
KXBTC15M-26APR240830-30,no,33,TP_FILL,41,8.0,3.24,4.76,0
KXBTC15M-26APR240730-30,no,24,TP_FILL,32,8.0,2.80,5.20,1
KXBTC15M-26APR240300-00,no,20,TP_FILL,28,8.0,2.53,5.47,0
KXBTC15M-26APR240230-30,yes,32,SL_HIT,3,-29.0,1.81,-30.81,0
KXBTC15M-26APR240030-30,no,4,TP_FILL,12,8.0,1.01,6.99,0
KXBTC15M-26APR232245-45,no,12,SL_HIT,1,-11.0,0.84,-11.84,1
KXBTC15M-26APR232045-45,no,12,TP_FILL,20,8.0,1.86,6.14,0
KXBTC15M-26APR231930-30,no,21,TP_FILL,29,8.0,2.60,5.40,1
KXBTC15M-26APR231845-45,no,19,SL_HIT,2,-17.0,1.27,-18.27,1
KXBTC15M-26APR230845-45,no,23,SL_HIT,13,-10.0,2.35,-12.35,1
KXBTC15M-26APR230100-00,no,33,SL_HIT,19,-14.0,3.06,-17.06,1
KXBTC15M-26APR222100-00,yes,32,TP_FILL,40,8.0,3.20,4.80,0
KXBTC15M-26APR222000-00,yes,13,TP_FILL,21,8.0,1.95,6.05,0
KXBTC15M-26APR221900-00,no,22,TP_FILL,30,8.0,2.67,5.33,1
KXBTC15M-26APR221115-15,yes,16,TP_FILL,24,8.0,2.22,5.78,0
KXBTC15M-26APR221030-30,no,27,SL_HIT,10,-17.0,2.26,-19.26,1
KXBTC15M-26APR220900-00,no,25,SL_HIT,9,-16.0,2.12,-18.12,1
KXBTC15M-26APR220345-45,no,20,SL_HIT,4,-16.0,1.50,-17.50,1
KXBTC15M-26APR220300-00,no,19,TP_FILL,27,8.0,2.46,5.54,1
KXBTC15M-26APR220015-15,no,34,SL_HIT,10,-24.0,2.45,-26.45,0
KXBTC15M-26APR212145-45,no,4,PRE_EXPIRY,1,-3.0,0.37,-3.37,1
