ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR241145-45,no,49,TP_FILL,58,9.0,3.45,5.55,1
KXBTC15M-26APR240945-45,no,38,TP_FILL,49,11.0,3.40,7.60,0
KXBTC15M-26APR240930-30,no,34,TP_FILL,57,23.0,3.29,19.71,0
KXBTC15M-26APR240815-15,yes,41,SL_HIT,25,-16.0,3.53,-19.53,1
KXBTC15M-26APR240345-45,yes,26,SL_HIT,10,-16.0,2.23,-18.23,0
KXBTC15M-26APR240215-15,yes,36,SL_HIT,21,-15.0,3.24,-18.24,0
KXBTC15M-26APR232000-00,yes,53,TP_FILL,62,9.0,3.39,5.61,1
KXBTC15M-26APR231945-45,no,31,SL_HIT,19,-12.0,3.01,-15.01,1
KXBTC15M-26APR231900-00,no,51,TP_FILL,59,8.0,3.44,4.56,0
KXBTC15M-26APR231700-00,yes,21,SL_HIT,6,-15.0,1.71,-16.71,0
KXBTC15M-26APR230745-45,yes,18,TP_FILL,42,24.0,2.74,21.26,1
KXBTC15M-26APR230645-45,no,39,TP_FILL,47,8.0,3.41,4.59,0
KXBTC15M-26APR230630-30,no,20,SL_HIT,7,-13.0,1.76,-14.76,1
KXBTC15M-26APR230530-30,no,19,TP_FILL,49,30.0,2.83,27.17,1
KXBTC15M-26APR222130-30,yes,21,SL_HIT,5,-16.0,1.63,-17.63,0
KXBTC15M-26APR221600-00,no,43,TP_FILL,55,12.0,3.45,8.55,1
KXBTC15M-26APR221415-15,no,45,TP_FILL,54,9.0,3.47,5.53,1
KXBTC15M-26APR221000-00,no,39,SL_HIT,16,-23.0,2.98,-25.98,1
KXBTC15M-26APR220600-00,yes,33,SL_HIT,17,-16.0,2.93,-18.93,0
KXBTC15M-26APR220500-00,no,49,SL_HIT,39,-10.0,4.08,-14.08,1
KXBTC15M-26APR220400-00,yes,32,SL_HIT,16,-16.0,2.84,-18.84,0
KXBTC15M-26APR220230-30,yes,46,TP_FILL,54,8.0,3.48,4.52,0
KXBTC15M-26APR220015-15,no,34,SL_HIT,10,-24.0,2.45,-26.45,0
KXBTC15M-26APR212115-15,no,29,SL_HIT,19,-10.0,2.95,-12.95,1
KXBTC15M-26APR212015-15,yes,42,TP_FILL,57,15.0,3.42,11.58,1
KXBTC15M-26APR211945-45,no,23,SL_HIT,10,-13.0,2.12,-15.12,1
KXBTC15M-26APR211630-30,yes,39,TP_FILL,48,9.0,3.41,5.59,1
KXBTC15M-26APR211530-30,yes,33,TP_FILL,42,9.0,3.25,5.75,1
KXBTC15M-26APR210915-15,yes,22,PRE_EXPIRY,24,2.0,2.99,-0.99,0
KXBTC15M-26APR210900-00,yes,41,TP_FILL,52,11.0,3.44,7.56,1
KXBTC15M-26APR210100-00,no,17,SL_HIT,8,-9.0,1.71,-10.71,1
KXBTC15M-26APR210045-45,yes,27,TP_FILL,36,9.0,2.99,6.01,1
KXBTC15M-26APR202345-45,no,32,TP_FILL,59,27.0,3.22,23.78,0
KXBTC15M-26APR201800-00,no,44,SL_HIT,30,-14.0,3.78,-17.78,1
KXBTC15M-26APR200130-30,yes,14,SL_HIT,5,-9.0,1.31,-10.31,0
KXBTC15M-26APR192300-00,no,39,TP_FILL,53,14.0,3.41,10.59,0
KXBTC15M-26APR192030-30,no,35,SL_HIT,19,-16.0,3.10,-19.10,1
KXBTC15M-26APR191630-30,yes,16,SL_HIT,7,-9.0,1.58,-10.58,0
KXBTC15M-26APR191515-15,no,19,SL_HIT,6,-13.0,1.63,-14.63,1
KXBTC15M-26APR191330-30,no,34,SL_HIT,23,-11.0,3.31,-14.31,1
KXBTC15M-26APR191030-30,no,30,SL_HIT,20,-10.0,3.04,-13.04,1
KXBTC15M-26APR190845-45,no,40,TP_FILL,60,20.0,3.36,16.64,0
KXBTC15M-26APR190800-00,no,36,SL_HIT,16,-20.0,2.93,-22.93,1
KXBTC15M-26APR190730-30,no,41,TP_FILL,54,13.0,3.43,9.57,0
KXBTC15M-26APR190645-45,no,45,TP_FILL,54,9.0,3.47,5.53,1
KXBTC15M-26APR190445-45,yes,39,TP_FILL,67,28.0,3.21,24.79,1
KXBTC15M-26APR190345-45,no,23,SL_HIT,8,-15.0,1.96,-16.96,1
KXBTC15M-26APR182330-30,yes,30,SL_HIT,16,-14.0,2.79,-16.79,0
KXBTC15M-26APR182230-30,no,22,SL_HIT,8,-14.0,1.92,-15.92,0
KXBTC15M-26APR181800-00,no,22,TP_FILL,31,9.0,2.70,6.30,1
KXBTC15M-26APR181745-45,no,51,TP_FILL,67,16.0,3.30,12.70,1
KXBTC15M-26APR181645-45,no,37,SL_HIT,23,-14.0,3.37,-17.37,1
KXBTC15M-26APR181530-30,yes,47,SL_HIT,38,-9.0,4.05,-13.05,0
KXBTC15M-26APR181515-15,no,23,SL_HIT,4,-19.0,1.62,-20.62,1
KXBTC15M-26APR181400-00,no,46,TP_FILL,71,25.0,3.18,21.82,0
KXBTC15M-26APR181130-30,yes,32,SL_HIT,23,-9.0,3.26,-12.26,1
KXBTC15M-26APR180915-15,yes,25,SL_HIT,16,-9.0,2.63,-11.63,0
KXBTC15M-26APR180745-45,no,22,TP_FILL,53,31.0,2.94,28.06,0
KXBTC15M-26APR180515-15,yes,19,SL_HIT,7,-12.0,1.72,-13.72,0
KXBTC15M-26APR180415-15,no,38,SL_HIT,22,-16.0,3.33,-19.33,0
KXBTC15M-26APR180100-00,yes,38,TP_FILL,50,12.0,3.40,8.60,1
KXBTC15M-26APR172315-15,no,52,TP_FILL,62,10.0,3.40,6.60,0
KXBTC15M-26APR172145-45,yes,25,TP_FILL,37,12.0,2.94,9.06,0
KXBTC15M-26APR171800-00,no,44,SL_HIT,33,-11.0,3.89,-14.89,1
KXBTC15M-26APR171330-30,no,42,TP_FILL,54,12.0,3.44,8.56,0
KXBTC15M-26APR171145-45,no,37,TP_FILL,52,15.0,3.38,11.62,0
KXBTC15M-26APR170815-15,no,53,SL_HIT,42,-11.0,4.13,-15.13,1
KXBTC15M-26APR170345-45,no,31,SL_HIT,22,-9.0,3.18,-12.18,1
KXBTC15M-26APR170245-45,no,43,TP_FILL,56,13.0,3.44,9.56,1
KXBTC15M-26APR170230-30,yes,35,TP_FILL,59,24.0,3.29,20.71,1
KXBTC15M-26APR162330-30,no,44,TP_FILL,52,8.0,3.47,4.53,1
KXBTC15M-26APR162230-30,yes,19,SL_HIT,10,-9.0,1.96,-10.96,0
KXBTC15M-26APR162145-45,no,45,SL_HIT,34,-11.0,3.93,-14.93,0
KXBTC15M-26APR162030-30,no,44,SL_HIT,35,-9.0,3.95,-12.95,1
KXBTC15M-26APR161445-45,no,31,SL_HIT,15,-16.0,2.75,-18.75,1
KXBTC15M-26APR161215-15,no,41,SL_HIT,11,-30.0,2.65,-32.65,0
KXBTC15M-26APR160645-45,no,40,TP_FILL,53,13.0,3.42,9.58,0
KXBTC15M-26APR160615-15,yes,30,SL_HIT,5,-25.0,1.94,-26.94,0
KXBTC15M-26APR160515-15,no,20,SL_HIT,9,-11.0,1.92,-12.92,1
KXBTC15M-26APR160200-00,no,51,SL_HIT,37,-14.0,4.03,-18.03,0
KXBTC15M-26APR160145-45,no,27,TP_FILL,47,20.0,3.12,16.88,0
KXBTC15M-26APR152230-30,yes,26,TP_FILL,38,12.0,3.00,9.00,1
KXBTC15M-26APR152100-00,yes,17,TP_FILL,45,28.0,2.72,25.28,0
KXBTC15M-26APR151700-00,no,38,SL_HIT,29,-9.0,3.67,-12.67,1
KXBTC15M-26APR151430-30,no,38,TP_FILL,58,20.0,3.35,16.65,0
