ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR240945-45,no,29,TP_FILL,48,19.0,3.19,15.81,0
KXBTC15M-26APR240530-30,no,46,TP_FILL,59,13.0,3.43,9.57,1
KXBTC15M-26APR240230-30,yes,31,PRE_EXPIRY,1,-30.0,1.59,-31.59,0
KXBTC15M-26APR232245-45,no,12,PRE_EXPIRY,1,-11.0,0.84,-11.84,1
KXBTC15M-26APR232045-45,no,12,TP_FILL,50,38.0,2.49,35.51,0
KXBTC15M-26APR232030-30,no,19,PRE_EXPIRY,1,-18.0,1.17,-19.17,1
KXBTC15M-26APR231845-45,no,19,PRE_EXPIRY,1,-18.0,1.17,-19.17,1
KXBTC15M-26APR230715-15,no,25,PRE_EXPIRY,32,7.0,3.44,3.56,1
KXBTC15M-26APR230530-30,yes,23,TP_FILL,61,38.0,2.91,35.09,1
KXBTC15M-26APR230130-30,yes,9,PRE_EXPIRY,1,-8.0,0.67,-8.67,0
KXBTC15M-26APR222100-00,yes,31,TP_FILL,48,17.0,3.24,13.76,0
KXBTC15M-26APR222000-00,yes,12,PRE_EXPIRY,1,-11.0,0.84,-11.84,0
KXBTC15M-26APR221800-00,no,37,PRE_EXPIRY,2,-35.0,1.82,-36.82,1
KXBTC15M-26APR221115-15,yes,15,TP_FILL,44,29.0,2.62,26.38,0
KXBTC15M-26APR220915-15,no,41,PRE_EXPIRY,1,-40.0,1.79,-41.79,1
KXBTC15M-26APR220345-45,no,20,PRE_EXPIRY,1,-19.0,1.22,-20.22,1
KXBTC15M-26APR220300-00,no,19,TP_FILL,37,18.0,2.71,15.29,1
KXBTC15M-26APR220230-30,yes,22,PRE_EXPIRY,1,-21.0,1.30,-22.30,0
KXBTC15M-26APR220015-15,no,34,TP_FILL,48,14.0,3.32,10.68,0
KXBTC15M-26APR212115-15,no,19,PRE_EXPIRY,1,-18.0,1.17,-19.17,1
KXBTC15M-26APR212015-15,no,8,PRE_EXPIRY,1,-7.0,0.61,-7.61,1
KXBTC15M-26APR211745-45,no,18,TP_FILL,57,39.0,2.75,36.25,0
KXBTC15M-26APR211730-30,no,24,TP_FILL,51,27.0,3.03,23.97,0
KXBTC15M-26APR211700-00,no,23,PRE_EXPIRY,1,-22.0,1.34,-23.34,1
KXBTC15M-26APR211415-15,no,27,TP_FILL,49,22.0,3.13,18.87,1
KXBTC15M-26APR210645-45,no,38,TP_FILL,54,16.0,3.39,12.61,1
KXBTC15M-26APR210445-45,yes,38,TP_FILL,57,19.0,3.36,15.64,1
KXBTC15M-26APR210345-45,yes,50,TP_FILL,58,8.0,3.46,4.54,1
KXBTC15M-26APR210300-00,yes,24,TP_FILL,44,20.0,3.00,17.00,0
KXBTC15M-26APR201700-00,no,20,PRE_EXPIRY,1,-19.0,1.22,-20.22,1
KXBTC15M-26APR201545-45,no,21,PRE_EXPIRY,1,-20.0,1.26,-21.26,1
KXBTC15M-26APR201145-45,yes,28,TP_FILL,54,26.0,3.15,22.85,0
KXBTC15M-26APR200945-45,no,20,PRE_EXPIRY,36,16.0,3.38,12.62,1
KXBTC15M-26APR200630-30,yes,28,PRE_EXPIRY,1,-27.0,1.51,-28.51,0
KXBTC15M-26APR200545-45,no,6,PRE_EXPIRY,1,-5.0,0.49,-5.49,1
KXBTC15M-26APR200530-30,no,26,TP_FILL,52,26.0,3.09,22.91,0
KXBTC15M-26APR200000-00,no,13,PRE_EXPIRY,1,-12.0,0.89,-12.89,1
KXBTC15M-26APR192300-00,no,40,TP_FILL,53,13.0,3.42,9.58,0
