ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR240945-45,no,62,TP_FILL,81,19.0,2.73,16.27,0
KXBTC15M-26APR231515-15,no,56,TP_FILL,70,14.0,3.19,10.81,0
KXBTC15M-26APR231330-30,no,59,TP_FILL,76,17.0,2.97,14.03,0
KXBTC15M-26APR231315-15,no,31,TP_FILL,79,48.0,2.66,45.34,0
KXBTC15M-26APR231130-30,yes,57,TP_FILL,70,13.0,3.19,9.81,1
KXBTC15M-26APR231045-45,no,46,PRE_EXPIRY,2,-44.0,1.93,-45.93,1
KXBTC15M-26APR222230-30,no,66,TP_FILL,75,9.0,2.88,6.12,0
KXBTC15M-26APR222030-30,no,80,PRE_EXPIRY,1,-79.0,1.22,-80.22,1
KXBTC15M-26APR221945-45,no,61,TP_FILL,79,18.0,2.83,15.17,0
KXBTC15M-26APR221515-15,no,80,TP_FILL,89,9.0,1.81,7.19,0
KXBTC15M-26APR221315-15,yes,60,TP_FILL,81,21.0,2.76,18.24,1
KXBTC15M-26APR220130-30,yes,35,TP_FILL,99,64.0,1.66,62.34,1
KXBTC15M-26APR212330-30,no,61,TP_FILL,71,10.0,3.11,6.89,0
KXBTC15M-26APR212230-30,yes,63,TP_FILL,74,11.0,2.98,8.02,1
KXBTC15M-26APR212030-30,no,58,TP_FILL,82,24.0,2.74,21.26,0
KXBTC15M-26APR211400-00,no,60,TP_FILL,68,8.0,3.20,4.80,0
KXBTC15M-26APR211330-30,no,67,TP_FILL,80,13.0,2.67,10.33,0
KXBTC15M-26APR211100-00,no,57,TP_FILL,83,26.0,2.70,23.30,0
KXBTC15M-26APR210945-45,no,63,TP_FILL,76,13.0,2.91,10.09,1
KXBTC15M-26APR210245-45,yes,75,TP_FILL,97,22.0,1.52,20.48,1
KXBTC15M-26APR202215-15,no,67,TP_FILL,82,15.0,2.58,12.42,0
KXBTC15M-26APR202130-30,no,75,TP_FILL,86,11.0,2.16,8.84,0
KXBTC15M-26APR201745-45,no,65,TP_FILL,85,20.0,2.49,17.52,0
KXBTC15M-26APR201615-15,no,73,PRE_EXPIRY,1,-72.0,1.48,-73.48,1
KXBTC15M-26APR201100-00,no,51,TP_FILL,69,18.0,3.25,14.75,0
KXBTC15M-26APR200945-45,no,55,PRE_EXPIRY,36,-19.0,3.99,-22.99,1
KXBTC15M-26APR200445-45,yes,50,TP_FILL,71,21.0,3.19,17.81,1
KXBTC15M-26APR200345-45,no,60,TP_FILL,70,10.0,3.15,6.85,0
KXBTC15M-26APR191930-30,no,77,TP_FILL,85,8.0,2.13,5.87,0
KXBTC15M-26APR191615-15,no,66,TP_FILL,91,25.0,2.14,22.86,0
