ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR241145-45,no,49,TP_FILL,58,9.0,3.45,5.55,1
KXBTC15M-26APR240945-45,no,38,TP_FILL,49,11.0,3.40,7.60,0
KXBTC15M-26APR240930-30,no,34,TP_FILL,57,23.0,3.29,19.71,0
KXBTC15M-26APR240830-30,no,59,TP_FILL,86,27.0,2.54,24.46,0
KXBTC15M-26APR240815-15,yes,41,TP_FILL,61,20.0,3.36,16.64,1
KXBTC15M-26APR240345-45,yes,26,PRE_EXPIRY,1,-25.0,1.44,-26.44,0
KXBTC15M-26APR240215-15,yes,36,PRE_EXPIRY,1,-35.0,1.71,-36.71,0
KXBTC15M-26APR232145-45,no,62,PRE_EXPIRY,88,26.0,2.68,23.32,0
KXBTC15M-26APR232000-00,yes,53,TP_FILL,62,9.0,3.39,5.61,1
KXBTC15M-26APR231945-45,no,31,PRE_EXPIRY,1,-30.0,1.59,-31.59,1
KXBTC15M-26APR231900-00,no,51,TP_FILL,59,8.0,3.44,4.56,0
KXBTC15M-26APR231700-00,yes,21,PRE_EXPIRY,1,-20.0,1.26,-21.26,0
KXBTC15M-26APR231045-45,no,48,PRE_EXPIRY,2,-46.0,1.94,-47.94,1
KXBTC15M-26APR230745-45,yes,18,TP_FILL,42,24.0,2.74,21.26,1
KXBTC15M-26APR230645-45,no,39,TP_FILL,47,8.0,3.41,4.59,0
KXBTC15M-26APR230630-30,no,20,PRE_EXPIRY,1,-19.0,1.22,-20.22,1
KXBTC15M-26APR230615-15,no,60,TP_FILL,99,39.0,1.75,37.25,0
KXBTC15M-26APR230530-30,no,19,TP_FILL,49,30.0,2.83,27.17,1
KXBTC15M-26APR222130-30,yes,21,TP_FILL,47,26.0,2.91,23.09,0
KXBTC15M-26APR221600-00,no,43,TP_FILL,55,12.0,3.45,8.55,1
KXBTC15M-26APR221545-45,no,73,TP_FILL,88,15.0,2.12,12.88,0
KXBTC15M-26APR221415-15,no,45,TP_FILL,54,9.0,3.47,5.53,1
KXBTC15M-26APR221000-00,no,39,PRE_EXPIRY,1,-38.0,1.76,-39.76,1
KXBTC15M-26APR220945-45,no,51,PRE_EXPIRY,1,-50.0,1.85,-51.85,1
KXBTC15M-26APR220600-00,yes,33,PRE_EXPIRY,1,-32.0,1.64,-33.64,0
KXBTC15M-26APR220500-00,no,49,PRE_EXPIRY,1,-48.0,1.85,-49.85,1
KXBTC15M-26APR220400-00,yes,32,TP_FILL,57,25.0,3.24,21.76,0
KXBTC15M-26APR220230-30,yes,46,TP_FILL,54,8.0,3.48,4.52,0
KXBTC15M-26APR220030-30,no,72,TP_FILL,89,17.0,2.10,14.90,0
KXBTC15M-26APR220015-15,no,34,TP_FILL,46,12.0,3.31,8.69,0
KXBTC15M-26APR212115-15,no,29,PRE_EXPIRY,1,-28.0,1.54,-29.54,1
KXBTC15M-26APR212015-15,yes,42,TP_FILL,57,15.0,3.42,11.58,1
KXBTC15M-26APR211945-45,no,23,PRE_EXPIRY,1,-22.0,1.34,-23.34,1
KXBTC15M-26APR211630-30,yes,39,TP_FILL,48,9.0,3.41,5.59,1
KXBTC15M-26APR211530-30,yes,33,TP_FILL,42,9.0,3.25,5.75,1
KXBTC15M-26APR211315-15,no,61,TP_FILL,76,15.0,2.94,12.06,0
KXBTC15M-26APR210945-45,no,73,TP_FILL,81,8.0,2.46,5.54,1
KXBTC15M-26APR210915-15,yes,22,PRE_EXPIRY,24,2.0,2.99,-0.99,0
KXBTC15M-26APR210900-00,yes,41,TP_FILL,52,11.0,3.44,7.56,1
KXBTC15M-26APR210100-00,no,17,PRE_EXPIRY,1,-16.0,1.08,-17.08,1
KXBTC15M-26APR210045-45,yes,27,TP_FILL,36,9.0,2.99,6.01,1
KXBTC15M-26APR202345-45,no,32,TP_FILL,59,27.0,3.22,23.78,0
KXBTC15M-26APR201800-00,no,44,PRE_EXPIRY,1,-43.0,1.82,-44.82,1
KXBTC15M-26APR201645-45,no,73,TP_FILL,81,8.0,2.46,5.54,0
KXBTC15M-26APR201500-00,yes,54,TP_FILL,84,30.0,2.68,27.32,1
KXBTC15M-26APR201445-45,no,45,TP_FILL,75,30.0,3.05,26.95,1
KXBTC15M-26APR201415-15,yes,76,TP_FILL,86,10.0,2.12,7.88,1
KXBTC15M-26APR201145-45,no,65,TP_FILL,73,8.0,2.97,5.03,0
KXBTC15M-26APR200930-30,no,76,TP_FILL,89,13.0,1.96,11.04,0
KXBTC15M-26APR200915-15,no,73,TP_FILL,81,8.0,2.46,5.54,0
KXBTC15M-26APR200830-30,yes,76,TP_FILL,98,22.0,1.41,20.59,1
KXBTC15M-26APR200130-30,yes,14,PRE_EXPIRY,1,-13.0,0.94,-13.94,0
KXBTC15M-26APR200015-15,no,77,TP_FILL,93,16.0,1.70,14.30,0
KXBTC15M-26APR192300-00,no,39,TP_FILL,53,14.0,3.41,10.59,0
KXBTC15M-26APR192030-30,no,35,PRE_EXPIRY,1,-34.0,1.69,-35.69,1
KXBTC15M-26APR192000-00,no,43,TP_FILL,89,46.0,2.40,43.60,0
KXBTC15M-26APR191830-30,no,44,TP_FILL,69,25.0,3.22,21.78,0
KXBTC15M-26APR191630-30,yes,16,PRE_EXPIRY,2,-14.0,1.13,-15.13,0
KXBTC15M-26APR191515-15,no,19,PRE_EXPIRY,1,-18.0,1.17,-19.17,1
KXBTC15M-26APR191330-30,no,34,TP_FILL,54,20.0,3.31,16.69,1
KXBTC15M-26APR191030-30,no,30,PRE_EXPIRY,1,-29.0,1.57,-30.57,1
KXBTC15M-26APR191015-15,no,77,TP_FILL,88,11.0,1.98,9.02,0
KXBTC15M-26APR190845-45,no,40,TP_FILL,60,20.0,3.36,16.64,0
KXBTC15M-26APR190800-00,no,36,PRE_EXPIRY,1,-35.0,1.71,-36.71,1
KXBTC15M-26APR190730-30,no,41,TP_FILL,54,13.0,3.43,9.57,0
KXBTC15M-26APR190645-45,no,45,TP_FILL,54,9.0,3.47,5.53,1
KXBTC15M-26APR190445-45,yes,39,TP_FILL,67,28.0,3.21,24.79,1
KXBTC15M-26APR190345-45,no,23,PRE_EXPIRY,1,-22.0,1.34,-23.34,1
KXBTC15M-26APR182330-30,yes,30,PRE_EXPIRY,4,-26.0,1.85,-27.85,0
KXBTC15M-26APR182230-30,no,22,TP_FILL,62,40.0,2.85,37.15,0
KXBTC15M-26APR181800-00,no,22,TP_FILL,31,9.0,2.70,6.30,1
KXBTC15M-26APR181745-45,no,51,TP_FILL,67,16.0,3.30,12.70,1
KXBTC15M-26APR181645-45,no,37,TP_FILL,47,10.0,3.38,6.62,1
KXBTC15M-26APR181530-30,yes,47,PRE_EXPIRY,1,-46.0,1.84,-47.84,0
KXBTC15M-26APR181515-15,no,23,PRE_EXPIRY,1,-22.0,1.34,-23.34,1
KXBTC15M-26APR181400-00,no,46,TP_FILL,71,25.0,3.18,21.82,0
KXBTC15M-26APR181130-30,yes,32,TP_FILL,50,18.0,3.27,14.73,1
KXBTC15M-26APR180915-15,yes,25,PRE_EXPIRY,1,-24.0,1.41,-25.41,0
KXBTC15M-26APR180745-45,no,22,TP_FILL,53,31.0,2.94,28.06,0
KXBTC15M-26APR180545-45,no,12,PRE_EXPIRY,1,-11.0,0.84,-11.84,1
KXBTC15M-26APR180515-15,yes,19,PRE_EXPIRY,1,-18.0,1.17,-19.17,0
KXBTC15M-26APR180415-15,no,38,TP_FILL,50,12.0,3.40,8.60,0
KXBTC15M-26APR180100-00,yes,38,TP_FILL,50,12.0,3.40,8.60,1
