ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR241030-30,no,60,TP_FILL,80,20.0,2.80,17.20,0
KXBTC15M-26APR240945-45,no,29,TP_FILL,48,19.0,3.19,15.81,0
KXBTC15M-26APR240530-30,no,46,SL_HIT,37,-9.0,4.02,-13.02,1
KXBTC15M-26APR240230-30,yes,31,SL_HIT,3,-28.0,1.78,-29.78,0
KXBTC15M-26APR232245-45,no,12,SL_HIT,1,-11.0,0.84,-11.84,1
KXBTC15M-26APR232045-45,no,12,TP_FILL,50,38.0,2.49,35.51,0
KXBTC15M-26APR232030-30,no,19,SL_HIT,6,-13.0,1.63,-14.63,1
KXBTC15M-26APR231845-45,no,19,SL_HIT,2,-17.0,1.27,-18.27,1
KXBTC15M-26APR231630-30,no,79,TP_FILL,88,9.0,1.90,7.10,0
KXBTC15M-26APR230715-15,no,25,SL_HIT,7,-18.0,1.95,-19.95,1
KXBTC15M-26APR230530-30,yes,23,TP_FILL,61,38.0,2.91,35.09,1
KXBTC15M-26APR230130-30,yes,9,SL_HIT,1,-8.0,0.67,-8.67,0
KXBTC15M-26APR222345-45,no,80,TP_FILL,98,18.0,1.26,16.74,0
KXBTC15M-26APR222100-00,yes,31,TP_FILL,48,17.0,3.24,13.76,0
KXBTC15M-26APR222015-15,no,64,TP_FILL,91,27.0,2.19,24.81,0
KXBTC15M-26APR222000-00,yes,12,SL_HIT,1,-11.0,0.84,-11.84,0
KXBTC15M-26APR221800-00,no,37,SL_HIT,9,-28.0,2.43,-30.43,1
KXBTC15M-26APR221115-15,yes,15,TP_FILL,44,29.0,2.62,26.38,0
KXBTC15M-26APR220915-15,no,41,SL_HIT,15,-26.0,2.94,-28.94,1
KXBTC15M-26APR220345-45,no,20,SL_HIT,4,-16.0,1.50,-17.50,1
KXBTC15M-26APR220300-00,no,19,TP_FILL,37,18.0,2.71,15.29,1
KXBTC15M-26APR220230-30,yes,22,SL_HIT,1,-21.0,1.30,-22.30,0
KXBTC15M-26APR220015-15,no,34,SL_HIT,10,-24.0,2.45,-26.45,0
KXBTC15M-26APR212215-15,yes,77,TP_FILL,99,22.0,1.31,20.69,1
KXBTC15M-26APR212115-15,no,19,SL_HIT,1,-18.0,1.17,-19.17,1
KXBTC15M-26APR212015-15,no,8,PRE_EXPIRY,1,-7.0,0.61,-7.61,1
KXBTC15M-26APR211745-45,no,18,TP_FILL,57,39.0,2.75,36.25,0
KXBTC15M-26APR211730-30,no,24,SL_HIT,10,-14.0,2.16,-16.16,0
KXBTC15M-26APR211700-00,no,23,SL_HIT,10,-13.0,2.12,-15.12,1
KXBTC15M-26APR211415-15,no,27,TP_FILL,49,22.0,3.13,18.87,1
KXBTC15M-26APR211300-00,yes,70,SL_HIT,1,-69.0,1.57,-70.57,0
KXBTC15M-26APR210815-15,no,73,TP_FILL,91,18.0,1.95,16.05,0
KXBTC15M-26APR210645-45,no,38,TP_FILL,54,16.0,3.39,12.61,1
KXBTC15M-26APR210445-45,yes,38,TP_FILL,57,19.0,3.36,15.64,1
KXBTC15M-26APR210345-45,yes,50,TP_FILL,58,8.0,3.46,4.54,1
KXBTC15M-26APR210300-00,yes,24,TP_FILL,44,20.0,3.00,17.00,0
KXBTC15M-26APR201700-00,no,20,SL_HIT,10,-10.0,2.00,-12.00,1
