ticker,side,entry_c,exit_reason,exit_c,gross_c,fee_c,net_c,settle_yes
KXBTC15M-26APR241200-00,no,15,TP_FILL,23,8.0,2.13,5.87,1
KXBTC15M-26APR241145-45,no,50,TP_FILL,58,8.0,3.46,4.54,1
KXBTC15M-26APR241130-30,no,48,TP_FILL,56,8.0,3.47,4.53,1
KXBTC15M-26APR241115-15,yes,20,PRE_EXPIRY,1,-19.0,1.22,-20.22,0
KXBTC15M-26APR241100-00,no,36,TP_FILL,52,16.0,3.36,12.64,1
KXBTC15M-26APR241045-45,no,33,PRE_EXPIRY,1,-32.0,1.64,-33.64,1
KXBTC15M-26APR241030-30,no,30,TP_FILL,49,19.0,3.22,15.78,0
KXBTC15M-26APR241015-15,yes,26,PRE_EXPIRY,1,-25.0,1.44,-26.44,0
KXBTC15M-26APR241000-00,no,40,TP_FILL,53,13.0,3.42,9.58,0
KXBTC15M-26APR240945-45,no,58,TP_FILL,67,9.0,3.25,5.75,0
KXBTC15M-26APR240900-00,no,39,TP_FILL,47,8.0,3.41,4.59,1
KXBTC15M-26APR240845-45,no,51,TP_FILL,64,13.0,3.36,9.64,0
KXBTC15M-26APR240830-30,no,44,TP_FILL,57,13.0,3.44,9.56,0
KXBTC15M-26APR240815-15,yes,50,TP_FILL,58,8.0,3.46,4.54,1
KXBTC15M-26APR240800-00,yes,20,PRE_EXPIRY,1,-19.0,1.22,-20.22,0
KXBTC15M-26APR240745-45,no,48,TP_FILL,56,8.0,3.47,4.53,0
KXBTC15M-26APR240730-30,no,55,TP_FILL,63,8.0,3.36,4.64,1
KXBTC15M-26APR240700-00,yes,48,TP_FILL,56,8.0,3.47,4.53,1
KXBTC15M-26APR240645-45,no,46,TP_FILL,60,14.0,3.42,10.58,0
KXBTC15M-26APR240630-30,no,30,PRE_EXPIRY,1,-29.0,1.57,-30.57,1
KXBTC15M-26APR240615-15,yes,24,TP_FILL,39,15.0,2.94,12.06,0
KXBTC15M-26APR240600-00,yes,39,TP_FILL,47,8.0,3.41,4.59,0
KXBTC15M-26APR240545-45,no,41,TP_FILL,69,28.0,3.19,24.81,1
KXBTC15M-26APR240530-30,no,18,TP_FILL,38,20.0,2.68,17.32,1
KXBTC15M-26APR240500-00,no,32,PRE_EXPIRY,1,-31.0,1.62,-32.62,1
KXBTC15M-26APR240445-45,no,64,TP_FILL,72,8.0,3.02,4.98,0
KXBTC15M-26APR240415-15,no,59,TP_FILL,67,8.0,3.24,4.76,1
KXBTC15M-26APR240400-00,no,24,TP_FILL,56,32.0,3.00,29.00,0
KXBTC15M-26APR240345-45,no,50,TP_FILL,66,16.0,3.32,12.68,0
KXBTC15M-26APR240330-30,no,52,TP_FILL,64,12.0,3.36,8.64,0
